Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IN1541 CTD 00001481	2/23	1.1415310511857051E-4	8.101188105188874E-4	0	0	158.45238095238096	1438.4259580631342	CCNA2;CCNB1
2H-1-Benzopyran-2-one, 7-[(3,7-dimethyl-2,6-octadienyl)oxy]- CTD 00003446	2/24	1.24480947880634E-4	8.648150063286153E-4	0	0	151.24242424242425	1359.8747634320841	CCNA2;CCNB2
doxazosin CTD 00007158	2/24	1.24480947880634E-4	8.648150063286153E-4	0	0	151.24242424242425	1359.8747634320841	CCNA2;SMAD4
chlorzoxazone HL60 DOWN	6/1286	1.339113867671195E-4	9.146005934831366E-4	0	0	10.960546875	97.74979888719031	CDC20;CCNB1;RRM2;TXNRD1;KIF11;BUB1
apicidin CTD 00003381	2/25	1.3525136020906006E-4	9.146005934831366E-4	0	0	144.65942028985506	1288.6804476029815	CCNA2;CCNB1
daunorubicin MCF7 DOWN	6/1290	1.3623888575687603E-4	9.146005934831366E-4	0	0	10.924065420560748	97.23620636370784	CCNA2;SMAD4;BUB1B;KIF11;BUB1;AURKA
Dronabinol CTD 00006853	4/402	1.3719008902247047E-4	9.146005934831366E-4	0	0	19.68643216080402	175.09394442659513	CCNA2;RRM2;UBE2C;TXNRD1
thioguanosine PC3 DOWN	3/150	1.4165489659109397E-4	9.319630808147673E-4	0	0	36.80705009276438	326.1883756621657	CCNA2;BUB1B;KIF11
hydrogen peroxide CTD 00006118	8/2673	1.4261859267013864E-4	9.319630808147673E-4	0	0	8.665916197623515	76.73960552817768	CCNA2;CDC20;CCNB2;CCNB1;UBE2C;TXNRD1;BUB1;AURKA
Antimycin A CTD 00005427	2/26	1.4646380653235145E-4	9.47706983444627E-4	0	0	138.625	1223.883003223528	CCNA2;CCNB1
roscovitine CTD 00003426	2/28	1.7021266102889025E-4	0.0010906830706705589	0	0	127.94871794871794	1110.3980809688312	CCNA2;CCNB1
MG-132 CTD 00002789	3/173	2.1584140511492314E-4	0.0013697627632293199	0	0	31.7903743315508	268.34148969982266	CDC20;CCNB1;TXNRD1
alsterpaullone MCF7 DOWN	6/1469	2.7890954260409277E-4	0.001753145696368583	0	0	9.495727956254273	77.71895389561415	CCNA2;SMAD4;BUB1B;KIF11;BUB1;AURKA
Romidepsin CTD 00003096	2/37	2.988222171700243E-4	0.001843202461048748	0	0	95.0047619047619	771.0265125260339	CCNA2;CCNB1
malathion CTD 00006233	2/37	2.988222171700243E-4	0.001843202461048748	0	0	95.0047619047619	771.0265125260339	CDC20;BUB1
camptothecin PC3 DOWN	6/1494	3.0589932360750656E-4	0.0018693847553792066	0	0	9.32358870967742	75.44885285953872	CCNA2;SMAD4;CTBP2;BUB1B;KIF11;AURKA
camptothecin MCF7 DOWN	6/1513	3.277725551048915E-4	0.0019846778565984257	0	0	9.196582614465827	73.78593536541958	CCNA2;SMAD4;CCNB1;BUB1B;KIF11;AURKA
pentoxifylline CTD 00006487	2/39	3.322078014627923E-4	0.0019932468087767536	0	0	89.86036036036036	719.7590103279413	CCNA2;CCNB1
Equol CTD 00007470	2/41	3.673317118420773E-4	0.002164633301926527	0	0	85.24358974358974	674.2124590755327	CCNA2;CCNB2
mephentermine HL60 DOWN	2/41	3.673317118420773E-4	0.002164633301926527	0	0	85.24358974358974	674.2124590755327	CDC20;CCNB1
Allyl sulfide CTD 00001796	2/42	3.855442169962099E-4	0.0022518511789159164	0	0	83.10833333333333	653.3025302955893	CCNB1;TXNRD1
