Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
estradiol CTD 00005920,2.47E-06,2.92E-05,0,0,19.91699422,257.1606177,CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
doxorubicin CTD 00005874,3.73E-06,4.33E-05,0,0,22.16935484,277.0851418,CCNA2;CCNB2;CCNB1;RRM2;BUB1B;AURKA
COUMESTROL CTD 00005717,3.80E-06,4.33E-05,0,0,16.12682927,201.2888575,CCNA2;CCNB2;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
PhIP CTD 00002156,4.16E-06,4.67E-05,0,0,50.31619048,623.3576623,CCNA2;CCNB1;BUB1B;BUB1
Copper sulfate CTD 00007279,5.12E-06,5.60E-05,0,0,27.94736842,340.4895466,CCNA2;CDC20;CCNB2;CCNB1;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;HSPG2;BUB1;AURKA
NICKEL CTD 00006389,5.17E-06,5.60E-05,0,0,47.57237237,579.1072261,CDC20;CCNB2;BUB1B;AURKA
glibenclamide HL60 DOWN,6.91E-06,7.36E-05,0,0,16.41867773,195.1028686,CDC20;CCNB1;RRM2;UBE2C;KIF11;BUB1;AURKA
etoposide CTD 00005948,7.03E-06,7.37E-05,0,0,26.76946272,317.6178518,CCNA2;CCNB1;UBE2C;BUB1B;BUB1
"1h-pyrazolo[3,4-d]pyrimidine CTD 00000742",7.55E-06,7.66E-05,0,0,103.0810345,1215.675713,CCNA2;CCNB2;CCNB1
ciclopirox HL60 DOWN,7.55E-06,7.66E-05,0,0,103.0810345,1215.675713,CDC20;CCNB1;BUB1
Belinostat CTD 00004313,8.74E-06,8.72E-05,0,0,97.99672131,1141.478245,CCNA2;CCNB1;AURKA
Tetradioxin CTD 00006848,9.10E-06,8.95E-05,0,0,14.3950683,167.0816781,CCNA2;CDC20;CCNB2;RRM2;CTBP2;UBE2C;TXNRD1;KIF11;BUB1;AURKA
EINECS 250-892-2 CTD 00001193,9.94E-06,9.62E-05,0,0,40.11770675,462.1115105,RRM2;TXNRD1;BUB1B;AURKA
8-azaguanine HL60 DOWN,1.05E-05,9.99E-05,0,0,18.37037037,210.6506265,CCNA2;CDC20;CCNB1;BUB1B;KIF11;BUB1
Dasatinib CTD 00004330,1.06E-05,1.00E-04,0,0,24.50955734,280.6595532,CDC20;RRM2;BUB1B;BUB1;AURKA
curcumin CTD 00000663,1.36E-05,1.26E-04,0,0,23.26003824,260.6606755,CCNA2;CDC20;CCNB1;UBE2C;TXNRD1
fisetin PC3 DOWN,1.53E-05,1.40E-04,0,0,22.68073694,251.5001542,CCNA2;CCNB1;BUB1B;KIF11;AURKA
lobeline HL60 DOWN,1.58E-05,1.42E-04,0,0,14.34774895,158.6523507,CCNA2;CDC20;CCNB2;CCNB1;CTBP2;KIF11;BUB1
Enterolactone CTD 00001393,1.65E-05,1.44E-04,0,0,16.89592894,186.0742503,CCNB2;CCNB1;RRM2;BUB1B;KIF11;AURKA
ANTIMONY CTD 00005424,1.65E-05,1.44E-04,0,0,78.59605263,865.5738314,CCNB2;UBE2C;TXNRD1
7646-79-9 CTD 00000928,1.98E-05,1.71E-04,0,0,12.32722853,133.5111898,CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;KIF11;BUB1;AURKA
ANTIMONY POTASSIUM TARTRATE CTD 00005425,2.20E-05,1.88E-04,0,0,71.08214286,762.2138045,CCNB2;UBE2C;TXNRD1
ZINC CTD 00007011,2.73E-05,2.30E-04,0,0,13.09520897,137.5896034,CCNA2;CDC20;CCNB2;UBE2C;TXNRD1;BUB1;AURKA
hydroxyurea CTD 00006132,2.96E-05,2.45E-04,0,0,64.17419355,669.1933597,CCNA2;CCNB1;UBE2C
DENSPM CTD 00002486,3.03E-05,2.45E-04,0,0,330.1818182,3435.359022,CCNA2;CCNB1
