#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CASP3	VEGFA	9606.ENSP00000311032	9606.ENSP00000478570	0	0	0	0	0	0	0	0.76	0.76
CASP3	PARP4	9606.ENSP00000311032	9606.ENSP00000371419	0	0	0	0	0	0.097	0.8	0.158	0.834
CBFB	KRAS	9606.ENSP00000415151	9606.ENSP00000256078	0	0	0	0	0.062	0.058	0.9	0.074	0.907
CBFB	SCMH1	9606.ENSP00000415151	9606.ENSP00000318094	0	0	0	0	0	0	0.6	0	0.6
CBFB	TNFRSF18	9606.ENSP00000415151	9606.ENSP00000328207	0	0	0	0	0	0	0.9	0	0.9
CBFB	SMAD4	9606.ENSP00000415151	9606.ENSP00000341551	0	0	0	0	0.083	0	0.9	0.043	0.904
CBFB	TNRC6A	9606.ENSP00000415151	9606.ENSP00000379144	0	0	0	0	0	0	0.9	0	0.9
CBFB	ITCH	9606.ENSP00000415151	9606.ENSP00000480499	0	0	0	0	0	0	0.9	0	0.9
CBSL	GSR	9606.ENSP00000381231	9606.ENSP00000221130	0	0	0	0	0	0.059	0	0.441	0.452
CBSL	CTBP2	9606.ENSP00000381231	9606.ENSP00000311825	0.126	0	0	0	0.064	0.219	0	0.19	0.413
CBSL	PTP4A2	9606.ENSP00000381231	9606.ENSP00000344909	0	0	0	0	0	0	0	0.439	0.439
CBSL	CLDN7	9606.ENSP00000381231	9606.ENSP00000353475	0	0	0	0	0	0	0	0.428	0.428
CBSL	MTHFD2	9606.ENSP00000381231	9606.ENSP00000377617	0	0	0	0	0.065	0	0	0.416	0.431
CBSL	CHD7	9606.ENSP00000381231	9606.ENSP00000392028	0	0	0	0	0	0.058	0	0.391	0.401
CBSL	TXNRD1	9606.ENSP00000381231	9606.ENSP00000434516	0.111	0	0	0	0.062	0.056	0	0.353	0.422
CBSL	MTHFD1L	9606.ENSP00000381231	9606.ENSP00000478253	0	0	0	0	0.097	0	0	0.442	0.475
CCDC57	ZNF251	9606.ENSP00000374292	9606.ENSP00000292562	0	0	0	0	0	0	0	0.776	0.776
CCDC88A	OVOL2	9606.ENSP00000338728	9606.ENSP00000278780	0	0	0	0	0.067	0	0	0.491	0.505
CCDC88A	CTBP2	9606.ENSP00000338728	9606.ENSP00000311825	0	0	0	0	0.062	0	0	0.649	0.656
CCDC88A	DVL1	9606.ENSP00000338728	9606.ENSP00000368169	0	0	0	0	0	0.104	0	0.454	0.49
CD276	MICA	9606.ENSP00000320084	9606.ENSP00000413079	0	0	0	0	0	0	0	0.451	0.451
CD276	VEGFA	9606.ENSP00000320084	9606.ENSP00000478570	0	0	0	0	0.069	0	0	0.454	0.469
CD276	TNFRSF18	9606.ENSP00000320084	9606.ENSP00000328207	0	0	0	0	0.062	0	0	0.603	0.611
CDC42BPB	MYL5	9606.ENSP00000355237	9606.ENSP00000383023	0	0	0	0	0	0.124	0	0.571	0.608
CDC73	PDLIM2	9606.ENSP00000356405	9606.ENSP00000312634	0	0	0	0	0	0	0	0.422	0.422
CDS2	DGKQ	9606.ENSP00000419879	9606.ENSP00000273814	0	0	0	0	0.062	0	0.65	0.208	0.717
CELSR1	DVL1	9606.ENSP00000262738	9606.ENSP00000368169	0	0	0	0	0.083	0.059	0	0.747	0.763
CEP164	HUS1	9606.ENSP00000278935	9606.ENSP00000258774	0	0	0	0	0	0	0.9	0.053	0.901
CEP164	NINL	9606.ENSP00000278935	9606.ENSP00000278886	0	0	0	0	0	0	0	0.416	0.416
CEP164	DVL1	9606.ENSP00000278935	9606.ENSP00000368169	0	0	0	0	0.06	0	0	0.451	0.462
CERS2	SPHK2	9606.ENSP00000271688	9606.ENSP00000245222	0	0	0	0	0.072	0	0.9	0.677	0.967
CERS2	SLC7A5	9606.ENSP00000271688	9606.ENSP00000261622	0	0	0	0	0.066	0.386	0	0.158	0.475
CERS2	PDE8A	9606.ENSP00000271688	9606.ENSP00000311453	0	0	0	0	0.062	0.398	0	0.048	0.415
CERS2	DENND6A	9606.ENSP00000271688	9606.ENSP00000311401	0	0	0	0	0	0	0	0.421	0.42
CERS2	PLEKHA8	9606.ENSP00000271688	9606.ENSP00000397947	0	0	0	0	0.063	0	0	0.436	0.449
CERS2	CERS5	9606.ENSP00000271688	9606.ENSP00000325485	0	0	0	0.915	0	0	0.8	0.919	0.815
CERS5	SPHK2	9606.ENSP00000325485	9606.ENSP00000245222	0	0	0	0	0.072	0	0.9	0.633	0.962
CERS5	PLEKHA8	9606.ENSP00000325485	9606.ENSP00000397947	0	0	0	0	0.063	0	0	0.498	0.509
CFL2	DBN1	9606.ENSP00000298159	9606.ENSP00000292385	0	0	0	0	0.067	0.252	0	0.308	0.475
CHD7	MUS81	9606.ENSP00000392028	9606.ENSP00000307853	0	0	0	0	0.065	0.225	0	0.251	0.41
CHD7	SMARCA1	9606.ENSP00000392028	9606.ENSP00000360162	0	0	0	0.736	0.146	0.31	0	0.487	0.461
CHD7	KDM7A	9606.ENSP00000392028	9606.ENSP00000380692	0	0	0	0	0.11	0.246	0	0.183	0.404
CHD7	VEGFA	9606.ENSP00000392028	9606.ENSP00000478570	0	0	0	0	0	0	0	0.451	0.451
CHST3	UST	9606.ENSP00000362207	9606.ENSP00000356433	0	0	0	0	0	0	0.9	0.813	0.98
CHST3	CSGALNACT2	9606.ENSP00000362207	9606.ENSP00000363590	0	0	0	0	0	0	0	0.587	0.587
CHST3	EPPK1	9606.ENSP00000362207	9606.ENSP00000484472	0	0	0	0	0	0	0	0.595	0.595
CHST3	NRBP2	9606.ENSP00000362207	9606.ENSP00000414055	0	0	0	0	0.069	0	0	0.595	0.607
CLDN7	DSG2	9606.ENSP00000353475	9606.ENSP00000261590	0	0	0	0	0.176	0	0	0.412	0.495
CLDN7	KRT8	9606.ENSP00000353475	9606.ENSP00000449404	0	0	0	0	0.326	0	0	0.441	0.607
CORO7	FAM109B	9606.ENSP00000251166	9606.ENSP00000312753	0	0	0	0	0	0	0	0.455	0.455
CREB3	XBP1	9606.ENSP00000342136	9606.ENSP00000216037	0	0	0	0	0.062	0	0	0.518	0.529
CREB3	JDP2	9606.ENSP00000342136	9606.ENSP00000267569	0	0	0	0	0	0	0	0.485	0.485
CRIP2	RHPN2	9606.ENSP00000426119	9606.ENSP00000254260	0	0	0	0	0.064	0.105	0	0.375	0.431
CSGALNACT2	UST	9606.ENSP00000363590	9606.ENSP00000356433	0	0	0	0	0	0	0	0.499	0.499
