Gene_ID,Clade IIb,Clade I,Clade IIa,Zaire,,,,,,,,,,
ABCD3,-1.132374803,NA,NA,-0.51775,,,,,,,,,,
STMN1,-1.190750809,NA,NA,NA,,,,,,,,,,
CENPF,-2.275729701,NA,NA,NA,,,,,,,,,,
NRP2,-2.21298347,NA,NA,NA,,,,,,,,,,
SGK1,-1.289630285,NA,0.731181521,-0.654875,,,,,,,,,,
ARG1,-1.909387625,NA,NA,NA,,,,,,,,,,
C1orf198,-1.183480534,-0.971523168,NA,NA,,,,,,,,,,
LTBP2,-1.683930865,NA,NA,NA,,,,,,,,,,
MSX2,-1.108137438,NA,NA,NA,,,,,,,,,,
ARL4A,-1.073056787,NA,NA,NA,,,,,,,,,,
PFDN5,-1.124167798,NA,NA,NA,,,,,,,,,,
HJURP,-3.64232181,NA,NA,NA,,,,,,,,,,
MCEE,-1.922533962,NA,NA,NA,,,,,,,,,,
RPS10,-1.567035363,NA,NA,NA,,,,,,,,,,
MT2A,-1.969428476,NA,-0.81736184,NA,,,,,,,,,,
TNFSF9,-1.39737703,NA,NA,-0.754,,,,,,,,,,
TGM3,-3.110713324,NA,NA,NA,,,,,,,,,,
MGME1,-1.508793915,-0.852923788,-0.812199169,NA,,,,,,,,,,
ERGIC3,-1.023515305,0.610439006,NA,NA,,,,,,,,,,
DLGAP5,-2.765225513,NA,NA,2.61275,,,,,,,,,,
BCL11B,-1.688387658,NA,NA,NA,,,,,,,,,,
HAT1,-1.007231052,NA,NA,NA,,,,,,,,,,
CD68,-1.452604628,NA,-0.685628674,NA,,,,,,,,,,
MPDU1,-1.336243497,NA,NA,NA,,,,,,,,,,
SLC44A2,-1.389592046,-0.915606238,NA,NA,,,,,,,,,,
RPS4Y1,-1.425424457,NA,-0.888278302,3.02975,,,,,,,,,,
FAM155B,-1.493841583,NA,NA,NA,,,,,,,,,,
TNNI2,-4.967354523,NA,NA,NA,,,,,,,,,,
CHMP2A,-1.145093747,NA,NA,NA,,,,,,,,,,
TMEM160,-1.681495596,NA,NA,NA,,,,,,,,,,
ACSS2,-1.212451338,NA,-0.882918562,NA,,,,,,,,,,
COX4I1,-1.116529179,-0.741421053,-0.483317457,-0.264,,,,,,,,,,
COX7B,-1.363199979,-0.495661912,-0.948614799,NA,,,,,,,,,,
GJA9,-2.323995898,NA,NA,NA,,,,,,,,,,
COQ3,-1.406654418,NA,NA,NA,,,,,,,,,,
PDZD2,-1.477018252,NA,NA,NA,,,,,,,,,,
CCNB1,-2.684593035,-0.869119126,-0.736312751,NA,,,,,,,,,,
EMC7,-1.368703448,-0.54674056,NA,NA,,,,,,,,,,
GRHL1,-1.733399076,-0.760183657,NA,NA,,,,,,,,,,
FST,-2.404934922,NA,NA,NA,,,,,,,,,,
TCN1,-3.180277473,NA,NA,NA,,,,,,,,,,
OASL,-1.756696805,0.97679042,NA,NA,,,,,,,,,,
NT5E,-1.549835425,NA,NA,NA,,,,,,,,,,
EHF,-1.789242368,NA,0.97123144,NA,,,,,,,,,,
OS9,-1.178929282,NA,NA,-0.3525,,,,,,,,,,
MRPS9,-1.026417912,NA,-0.683472064,NA,,,,,,,,,,
LMO7,-1.657564928,NA,NA,NA,,,,,,,,,,
GALNT5,-4.762696249,NA,NA,-0.469,,,,,,,,,,
IL1F10,-2.238672501,NA,NA,NA,,,,,,,,,,
DCTN3,-1.250277975,NA,NA,NA,,,,,,,,,,
TUBB2A,-1.393593431,-0.927114258,-0.58934906,NA,,,,,,,,,,
