Category,Term,,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0008544~epidermis development,epidermis development,7,2.834008097,5.98E-04,"COL17A1, LCE2B, SPRR3, YBX1, GRHL1, TGM5, SPRR2D",235,86,19462,6.740920336,0.619636917,0.132734082,0.132077389
GOTERM_BP_DIRECT,GO:0031424~keratinization,keratinization,7,2.834008097,8.06E-04,"LCE2B, IL1A, SPRR3, CNFN, ABCA12, TGM3, SPRR2D",235,91,19462,6.370540098,0.728589784,0.137452523,0.136772486
GOTERM_BP_DIRECT,GO:0001666~response to hypoxia,response to hypoxia,7,2.834008097,0.020343623,"IL1A, CITED2, XRCC1, THBS1, CRYAB, HIF1A, TM9SF4",235,177,19462,3.275249429,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0007094~mitotic spindle assembly checkpoint,mitotic spindle assembly checkpoint,6,2.429149798,3.72E-05,"CDC20, CENPF, BIRC5, BUB1B, TRIP13, NDC80",235,32,19462,15.52819149,0.058372693,0.015036151,0.014961761
GOTERM_BP_DIRECT,GO:0000086~G2/M transition of mitotic cell cycle,G2/M transition of mitotic cell cycle,6,2.429149798,6.57E-04,"CCNA2, CCNB1, BIRC5, CALM3, FOXM1, AURKA",235,58,19462,8.567278063,0.654312976,0.132734082,0.132077389
GOTERM_BP_DIRECT,GO:0007059~chromosome segregation,chromosome segregation,6,2.429149798,0.006066167,"CENPF, HJURP, BIRC5, NDC80, SKA1, DLGAP5",235,96,19462,5.17606383,0.999946662,0.576999548,0.574144881
GOTERM_BP_DIRECT,GO:0018149~peptide cross-linking,,5,2.024291498,3.82E-04,"FLG, SPRR3, TGM5, THBS1, TGM3",235,29,19462,14.27879677,0.460851093,0.102940915,0.102431622
GOTERM_BP_DIRECT,GO:0090307~mitotic spindle assembly,,5,2.024291498,0.001455028,"CDC20, TPX2, MYBL2, KIF11, SMC1A",235,41,19462,10.09963674,0.905058427,0.213889114,0.212830912
GOTERM_BP_DIRECT,GO:0007080~mitotic metaphase plate congression,,5,2.024291498,0.00159319,"CCNB1, CDC23, CDCA5, CHMP2A, KIF2C",235,42,19462,9.8591692,0.924092758,0.214682402,0.213620275
GOTERM_BP_DIRECT,GO:0006605~protein targeting,,5,2.024291498,0.002237382,"SYNGR1, VPS51, OS9, LTBP2, SORL1",235,46,19462,9.001850139,0.97326815,0.278295866,0.276919016
GOTERM_BP_DIRECT,GO:0007346~regulation of mitotic cell cycle,,5,2.024291498,0.008642155,"CDC20, CDC23, GMNN, BIRC5, DLGAP5",235,67,19462,6.180374722,0.999999197,0.639597848,0.63643348
GOTERM_BP_DIRECT,GO:0010595~positive regulation of endothelial cell migration,,5,2.024291498,0.009097558,"SCARB1, EDN1, NRP2, THBS1, RHOB",235,68,19462,6.089486859,0.999999618,0.639597848,0.63643348
GOTERM_BP_DIRECT,GO:0009615~response to virus,,5,2.024291498,0.043854118,"PSMA2, STMN1, IFI44, DDX60, OASL",235,110,19462,3.764410058,1,1,0.995668317
GOTERM_BP_DIRECT,"GO:0006123~mitochondrial electron transport, cytochrome c to oxygen",,4,1.619433198,0.003246049,"COX7B, COX4I1, COX7A2, COX6A1",235,25,19462,13.2507234,0.994791166,0.374918701,0.373063816
GOTERM_BP_DIRECT,GO:0061436~establishment of skin barrier,,4,1.619433198,0.008458461,"FLG, STMN1, GRHL1, ABCA12",235,35,19462,9.464802432,0.999998917,0.639597848,0.63643348
GOTERM_BP_DIRECT,GO:0032465~regulation of cytokinesis,,4,1.619433198,0.013953731,"PLK2, CALM3, KIF20A, AURKA",235,42,19462,7.88733536,1,0.778040796,0.774191491
GOTERM_BP_DIRECT,GO:0045333~cellular respiration,,4,1.619433198,0.013953731,"COX7B, COX4I1, COX7A2, COX6A1",235,42,19462,7.88733536,1,0.778040796,0.774191491
GOTERM_BP_DIRECT,GO:0031145~anaphase-promoting complex-dependent catabolic process,,4,1.619433198,0.018867428,"PSMB6, CDC20, CDC23, PSMA2",235,47,19462,7.04825713,1,0.984149383,0.979280369
GOTERM_BP_DIRECT,GO:0006091~generation of precursor metabolites and energy,,4,1.619433198,0.019950696,"COX4I1, ACO2, COX6A1, PPARD",235,48,19462,6.90141844,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,,4,1.619433198,0.027157168,"CCNA2, CCNB2, CCNB1, CDKN3",235,54,19462,6.134594169,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0014070~response to organic cyclic compound,,4,1.619433198,0.045166185,"KITLG, ABCD3, FST, CTSK",235,66,19462,5.019213411,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0007057~spindle assembly involved in female meiosis I,,3,1.214574899,8.50E-04,"CCNB2, NDC80, AURKA",235,4,19462,62.11276596,0.747188156,0.137452523,0.136772486
GOTERM_BP_DIRECT,GO:0015871~choline transport,,3,1.214574899,0.004901551,"SLC44A5, SLC44A3, SLC44A2",235,9,19462,27.60567376,0.999645675,0.495362994,0.492912218
