ID,MetaColumn,MetaRow,Column,Row,CLONE_ID,SPOT_ID,Reporter.Species,Reporter.BioSequence.Database.Entry..preferredName.,Repoter.Biosequence.Type,Repoter.BioSequence.PolymerType,CompositeSequence.Identifier,GeneId,CompositeSequence.Biosequence.Type,Plate.Identifier,Plate.Row,Plate.Column,LUID,Failed,Contaminated,Mpox.F.Mock.F,Mpox.F.Killed.F,Killed.F.Mock.F,AveExpr,F,P.Value,adj.P.Val,log2FC
9515,3,3,5,18,IMAGE:1186252,,Homo sapiens,cDNA_clone,DNA,Experimental,79670,gene,DNA,F,3,20954,0,U,U,-0.267375,-0.141125,-0.12625,1.466416667,1.052258885,0.364948649,0.476772234,-0.267375
24850,4,7,10,19,IMAGE:1302530,,Homo sapiens,cDNA_clone,DNA,Experimental,LOC440309,gene,DNA,I,19,11962,0,U,U,-0.310125,-0.080875,-0.22925,0.141708333,1.052070182,0.365011888,0.476833141,-0.310125
14151,4,4,21,22,IMAGE:773402,,Homo sapiens,cDNA_clone,DNA,Experimental,390980,gene,DNA,E,4,511642,0,U,U,-0.207,-0.29175,0.08475,0.302375,1.052015887,0.365030086,0.476833141,-0.207
40109,1,12,29,17,IMAGE:179022,,Homo sapiens,cDNA_clone,DNA,Experimental,6844,gene,DNA,L,12,527810,0,U,U,-0.1715,-0.21625,0.04475,-0.84925,1.051991229,0.365038351,0.476833141,-0.1715
38363,3,11,23,19,IMAGE:898012,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,F,11,531230,0,U,U,-0.204625,-0.15775,-0.046875,0.329916667,1.051944631,0.365053971,0.476834786,-0.204625
34346,3,10,26,5,IMAGE:1371293,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.223641,gene,DNA,B,22,25163,0,U,U,-0.06875,0.11225,-0.181,0.18075,1.051723153,0.365128218,0.476913008,-0.06875
29985,2,9,15,10,IMAGE:121351,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.493649,gene,DNA,K,9,26945,0,U,U,0.1485,0.2095,-0.061,-2.117458333,1.05149374,0.365205144,0.476977093,0.1485
28149,4,8,9,9,IMAGE:1335364,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.462956,gene,DNA,A,8,13540,0,U,U,-0.156875,-0.00975,-0.147125,-0.226333333,1.051457009,0.365217462,0.476977093,-0.156875
4916,2,2,26,14,IMAGE:247818,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.239666,gene,DNA,O,14,503259,0,U,U,-0.23175,-0.264375,0.032625,1.488875,1.051448319,0.365220376,0.476977093,-0.23175
37311,2,11,21,14,IMAGE:214906,,Homo sapiens,cDNA_clone,DNA,Experimental,23013,gene,DNA,G,11,503114,0,U,U,-0.08775,0.123125,-0.210875,-0.489291667,1.051102052,0.365336523,0.477110015,-0.08775
7879,1,3,19,23,IMAGE:1523225,,Homo sapiens,cDNA_clone,DNA,Experimental,9180,gene,DNA,P,3,521014,0,U,U,-0.209875,-0.18725,-0.022625,0.583375,1.050990333,0.365374005,0.477140198,-0.209875
8537,2,3,17,15,IMAGE:815665,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,K,3,2750,0,U,U,-0.26425,-0.115625,-0.148625,-0.26675,1.050839549,0.3654246,0.477187503,-0.26425
12042,2,4,12,12,IMAGE:2504587,,Homo sapiens,cDNA_clone,DNA,Experimental,2981,gene,DNA,K,16,542152,0,U,U,0.187625,0.152625,0.035,-0.128166667,1.05073392,0.365460048,0.477215025,0.187625
27833,3,8,23,28,VACWR018,,Vaccinia virus (strain WR),cDNA_clone,DNA,Experimental,,,,B,8,30450,0,U,U,0.7085,0.21975,0.48875,1.580208333,1.050597989,0.36550567,0.47725583,0.7085
21934,1,7,4,12,IMAGE:50004,,Homo sapiens,cDNA_clone,DNA,Experimental,Transcribed locus,gene,DNA,L,19,509574,0,U,U,-0.182375,-0.142,-0.040375,-0.13875,1.05048726,0.365542838,0.477285594,-0.182375
34579,3,10,19,13,IMAGE:1350705,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,F,10,14141,0,U,U,-0.06925,0.223,-0.29225,-0.49125,1.050392877,0.365574523,0.477308196,-0.06925
38184,3,11,24,13,IMAGE:1353537,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.115277,gene,DNA,N,23,14484,0,U,U,-0.17125,-0.26475,0.0935,-1.137541667,1.050295441,0.365607236,0.477332138,-0.17125
25845,1,8,15,22,IMAGE:2259888,,Homo sapiens,cDNA_clone,DNA,Experimental,PYCR2,gene,DNA,L,8,541668,0,U,U,-0.27075,-0.30475,0.034,-1.794166667,1.05021854,0.365633056,0.47734708,-0.27075
17204,4,5,14,4,IMAGE:1305471,,Homo sapiens,cDNA_clone,DNA,Experimental,Coiled-coil domain containing 35,gene,DNA,M,17,12273,0,U,U,-0.094125,-0.1895,0.095375,-0.668708333,1.050120315,0.36566604,0.477371372,-0.094125
39021,4,11,21,11,IMAGE:685710,,Homo sapiens,cDNA_clone,DNA,Experimental,Transmembrane protein 134,gene,DNA,A,11,20166,0,U,U,-0.1525,0.08275,-0.23525,-0.15275,1.049981225,0.365712751,0.477413583,-0.1525
14554,1,5,4,6,IMAGE:853454,,Homo sapiens,cDNA_clone,DNA,Experimental,KIAA1946,gene,DNA,D,17,522197,0,U,U,-0.27125,0.007625,-0.278875,-0.27025,1.049772062,0.365783007,0.477476963,-0.27125
5407,3,2,7,1,IMAGE:685347,,Homo sapiens,cDNA_clone,DNA,Experimental,UBE1L2,gene,DNA,N,2,1705,0,U,U,-0.253625,0.210875,-0.4645,0.087125,1.049751063,0.365790062,0.477476963,-0.253625
33914,2,10,14,21,IMAGE:562729,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.416073,gene,DNA,K,22,26087,0,U,U,0.364125,0.062125,0.302,-1.263333333,1.049666055,0.36581862,0.47749547,0.364125
