"initial_alias","converted_alias","name","description","namespace"
"GJA9","81025","GJA9","gap junction protein alpha 9 [Source:HGNC Symbol;Acc:HGNC:19155]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COQ3","51805","COQ3","coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDZD2","23037","PDZD2","PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18486]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNB1","891","CCNB1","cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EMC7","56851","EMC7","ER membrane protein complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24301]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRHL1","29841","GRHL1","grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FST","10468","FST","follistatin [Source:HGNC Symbol;Acc:HGNC:3971]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCN1","6947","TCN1","transcobalamin 1 [Source:HGNC Symbol;Acc:HGNC:11652]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OASL","8638","OASL","2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NT5E","4907","NT5E","5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EHF","26298","EHF","ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OS9","10956","OS9","OS9 endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS9","64965","MRPS9","mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMO7","4008","LMO7","LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GALNT5","11227","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4127]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL1F10","84639","IL1F10","interleukin 1 family member 10 [Source:HGNC Symbol;Acc:HGNC:15552]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCTN3","11258","DCTN3","dynactin subunit 3 [Source:HGNC Symbol;Acc:HGNC:2713]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TUBB2A","7280","TUBB2A","tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDX60","55601","DDX60","DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SORL1","6653","SORL1","sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THBS1","7057","THBS1","thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFI44","10561","IFI44","interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC44A5","204962","SLC44A5","solute carrier family 44 member 5 [Source:HGNC Symbol;Acc:HGNC:28524]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HADHB","3032","HADHB","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF11","3832","KIF11","kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP55","55165","CEP55","centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF365","22891","ZNF365","zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B4GALNT3","283358","B4GALNT3","beta-1,4-N-acetyl-galactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:24137]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GLIPR1","11010","GLIPR1","GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNRPF","6636","SNRPF","small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:HGNC:11162]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C12ORF10","None","None","None",""
"DIAPH3","81624","DIAPH3","diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERF2","10169","SERF2","small EDRK-rich factor 2 [Source:HGNC Symbol;Acc:HGNC:10757]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCAMP2","10066","SCAMP2","secretory carrier membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:10564]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FANCI","55215","FANCI","FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CBX4","8535","CBX4","chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MIEN1","84299","MIEN1","migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM50B","757","TMEM50B","transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMB6","5694","PSMB6","proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF2C","11004","KIF2C","kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC44A3","126969","SLC44A3","solute carrier family 44 member 3 [Source:HGNC Symbol;Acc:HGNC:28689]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UFC1","51506","UFC1","ubiquitin-fold modifier conjugating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:26941]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TUFT1","7286","TUFT1","tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CGN","57530","CGN","cingulin [Source:HGNC Symbol;Acc:HGNC:17429]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTSK","1513","CTSK","cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB13","5872","RAB13","RAB13, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9762]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLG","2312","FLG","filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHOB","388","RHOB","ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DQX1","165545","DQX1","DEAQ-box RNA dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAHD2B","151313","FAHD2B","fumarylacetoacetate hydrolase domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25318]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA12","26154","ABCA12","ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHLDB2","90102","PHLDB2","pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNA2","890","CCNA2","cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLK2","10769","PLK2","polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTF3","689","BTF3","basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA5","113130","CDCA5","cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCAPG2","54892","NCAPG2","non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFB11","54539","NDUFB11","NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR2K","5440","POLR2K","RNA polymerase II, I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","8667","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPR107","57720","GPR107","G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADD3","120","ADD3","adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYT8","90019","SYT8","synaptotagmin 8 [Source:HGNC Symbol;Acc:HGNC:19264]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSRP1","6749","SSRP1","structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SESN3","143686","SESN3","sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS51","738","VPS51","VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTBD11","None","None","None",""
"NBAS","51594","NBAS","NBAS subunit of NRZ tethering complex [Source:HGNC Symbol;Acc:HGNC:15625]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPB8","26353","HSPB8","heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PFKM","5213","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SKA1","220134","SKA1","spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM237","65062","TMEM237","transmembrane protein 237 [Source:HGNC Symbol;Acc:HGNC:14432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAET1L","154064","RAET1L","retinoic acid early transcript 1L [Source:HGNC Symbol;Acc:HGNC:16798]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSD3","23362","PSD3","pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB1B","701","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSBP3","23648","SSBP3","single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNB2","9133","CCNB2","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC35B2","347734","SLC35B2","solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPPL3","121665","SPPL3","signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XDH","7498","XDH","xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TENT5B","115572","TENT5B","terminal nucleotidyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:28273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADIPOR1","51094","ADIPOR1","adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LCE2B","26239","LCE2B","late cornified envelope 2B [Source:HGNC Symbol;Acc:HGNC:16610]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LYPD5","284348","LYPD5","LY6/PLAUR domain containing 5 [Source:HGNC Symbol;Acc:HGNC:26397]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CALM3","808","CALM3","calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF385A","25946","ZNF385A","zinc finger protein 385A [Source:HGNC Symbol;Acc:HGNC:17521]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JMJD8","339123","JMJD8","jumonji domain containing 8 [Source:HGNC Symbol;Acc:HGNC:14148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBP2","2634","GBP2","guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF74","148304","C1orf74","chromosome 1 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:26319]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPATA18","132671","SPATA18","spermatogenesis associated 18 [Source:HGNC Symbol;Acc:HGNC:29579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPRR3","6707","SPRR3","small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPRR2D","6703","SPRR2D","small proline rich protein 2D [Source:HGNC Symbol;Acc:HGNC:11264]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPR155","151556","GPR155","G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIAA1143","57456","KIAA1143","KIAA1143 [Source:HGNC Symbol;Acc:HGNC:29198]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSA2","10412","NSA2","NSA2 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:30728]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADGRF2","None","None","None",""
"CITED2","10370","CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MIOS","54468","MIOS","meiosis regulator for oocyte development [Source:HGNC Symbol;Acc:HGNC:21905]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNAAF5","54919","DNAAF5","dynein axonemal assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:26013]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AQP3","360","AQP3","aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SKA3","221150","SKA3","spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERPINA12","145264","SERPINA12","serpin family A member 12 [Source:HGNC Symbol;Acc:HGNC:18359]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CKB","1152","CKB","creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOLC1","9221","NOLC1","nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP54","159195","USP54","ubiquitin specific peptidase 54 [Source:HGNC Symbol;Acc:HGNC:23513]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WEE1","7465","WEE1","WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCM7","4176","MCM7","minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEC11C","90701","SEC11C","SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDH16","1014","CDH16","cadherin 16 [Source:HGNC Symbol;Acc:HGNC:1755]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSP90B1","7184","HSP90B1","heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B2M","567","B2M","beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCNN1G","6340","SCNN1G","sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAV2","89797","NAV2","neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDT1","81620","CDT1","chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EEF2","1938","EEF2","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NXN","64359","NXN","nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLK13","26085","KLK13","kallikrein related peptidase 13 [Source:HGNC Symbol;Acc:HGNC:6361]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT80","144501","KRT80","keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK2AP2","10263","CDK2AP2","cyclin dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:30833]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT24","192666","KRT24","keratin 24 [Source:HGNC Symbol;Acc:HGNC:18527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BSCL2","26580","BSCL2","BSCL2 lipid droplet biogenesis associated, seipin [Source:HGNC Symbol;Acc:HGNC:15832]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SAC3D1","29901","SAC3D1","SAC3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30179]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PBK","55872","PBK","PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VASN","114990","VASN","vasorin [Source:HGNC Symbol;Acc:HGNC:18517]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FILIP1L","11259","FILIP1L","filamin A interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:24589]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCNN1B","6338","SCNN1B","sodium channel epithelial 1 subunit beta [Source:HGNC Symbol;Acc:HGNC:10600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHYHIP","9796","PHYHIP","phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MN1","4330","MN1","MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CKAP2L","150468","CKAP2L","cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB1","699","BUB1","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT1E","4493","MT1E","metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCDH7","5099","PCDH7","protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ROBO1","6091","ROBO1","roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC30A1","7779","SLC30A1","solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT4","3851","KRT4","keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUDT9","53343","NUDT9","nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SHCBP1","79801","SHCBP1","SHC binding and spindle associated 1 [Source:HGNC Symbol;Acc:HGNC:29547]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT15","3866","KRT15","keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT9","3857","KRT9","keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RRM2","6241","RRM2","ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ID4","3400","ID4","inhibitor of DNA binding 4 [Source:HGNC Symbol;Acc:HGNC:5363]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OVOL1","5017","OVOL1","ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CES4A","283848","CES4A","carboxylesterase 4A [Source:HGNC Symbol;Acc:HGNC:26741]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HPSE","10855","HPSE","heparanase [Source:HGNC Symbol;Acc:HGNC:5164]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COQ2","27235","COQ2","coenzyme Q2, polyprenyltransferase [Source:HGNC Symbol;Acc:HGNC:25223]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMMD1","150684","COMMD1","copper metabolism domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23024]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NWD2","57495","NWD2","NACHT and WD repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29229]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZHX3","23051","ZHX3","zinc fingers and homeoboxes 3 [Source:HGNC Symbol;Acc:HGNC:15935]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GLIS1","148979","GLIS1","GLIS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:29525]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EXO1","9156","EXO1","exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
