ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000196961,49.08289889,0.686817718,0.291349042,0.013627802,0.031817249
ENSG00000196975,17.77882118,-2.662465205,0.548587272,1.91E-07,1.15E-06
ENSG00000196976,16.18804848,-2.000677079,0.757449525,0.001330825,0.004133493
ENSG00000196998,53.71078099,1.719926595,0.328663449,4.80E-08,3.13E-07
ENSG00000197006,23.65418039,-1.177454745,0.431653881,0.00277075,0.007932079
ENSG00000197019,193.4729582,2.077415315,0.187398491,3.50E-29,8.66E-28
ENSG00000197020,5.192401746,1.798111819,1.130881675,0.021707369,0.047480771
ENSG00000197044,31.58219438,2.946677698,0.469038561,5.74E-11,5.08E-10
ENSG00000197061,1240.634113,14.53605024,2.718556013,9.74E-31,2.56E-29
ENSG00000197062,20.50406549,1.059169633,0.477236409,0.012937069,0.030489706
ENSG00000197063,616.4733777,4.935964935,0.170449208,8.64E-185,2.16E-182
ENSG00000197070,53.55069609,-0.752402158,0.308761236,0.010339917,0.02503255
ENSG00000197081,129.6013621,2.040129432,0.202685244,1.83E-24,3.70E-23
ENSG00000197084,74.61121554,1.16945525,0.328243521,0.000170136,0.000646947
ENSG00000197102,55.76032183,-0.695365747,0.267584699,0.006916032,0.017677695
ENSG00000197110,2.975586939,4.427381187,3.08562573,0.003661913,0.010130779
ENSG00000197111,278.2294045,2.134691224,0.151473392,9.28E-46,3.75E-44
ENSG00000197114,49.42486192,1.349053002,0.345005675,3.61E-05,0.000156501
ENSG00000197119,26.4722033,1.77194951,0.475444809,5.17E-05,0.000218358
ENSG00000197122,40.97878134,0.918915852,0.343909928,0.004457545,0.012019599
ENSG00000197124,10.48713713,3.101039881,0.865938062,5.62E-05,0.000235858
ENSG00000197150,25.30931782,1.072137538,0.447168755,0.008139519,0.020320731
ENSG00000197153,21.05315895,8.041441467,2.518666079,6.03E-09,4.37E-08
ENSG00000197157,79.58940101,-0.958223087,0.232357781,2.23E-05,1.00E-04
ENSG00000197170,115.5995907,1.035641889,0.218310249,1.18E-06,6.43E-06
ENSG00000197191,33.22925933,-1.417794905,0.466315949,0.000774443,0.002547462
ENSG00000197217,53.96590696,1.225807129,0.310221397,3.55E-05,0.000153919
ENSG00000197226,34.91174033,-1.023497232,0.351291991,0.001891272,0.00564652
ENSG00000197238,10.673979,3.901691495,1.517133452,0.00099109,0.003169387
ENSG00000197256,19.22939582,3.025236867,0.5909885,5.04E-08,3.28E-07
ENSG00000197261,135.2001102,2.49041287,0.211831635,1.26E-32,3.55E-31
ENSG00000197265,45.20864347,-1.68436043,0.367274881,1.25E-06,6.78E-06
ENSG00000197279,451.3305816,4.506688691,0.188575726,1.06E-126,1.58E-124
ENSG00000197283,18.31495143,1.288365924,0.512248245,0.004585023,0.012335773
ENSG00000197296,8.495975657,-1.424088106,0.729753245,0.014776602,0.034076317
ENSG00000197312,20.01399194,-1.469890465,0.473596359,0.000617321,0.002071568
ENSG00000197343,65.7052194,1.609655192,0.287639032,7.05E-09,5.05E-08
ENSG00000197362,10.13800694,-1.63202454,0.802471369,0.010123742,0.02457532
ENSG00000197372,18.36877324,1.36711723,0.503531773,0.002414312,0.007026982
ENSG00000197386,11.54782504,-1.355417736,0.601637153,0.008177983,0.020402687
ENSG00000197405,4.350363995,3.686756965,1.687566961,0.00183749,0.00550183
ENSG00000197406,2.445913575,3.399255458,4.801690936,0.009710829,0.023664223
ENSG00000197409,101.2081708,6.213950794,0.641538279,3.66E-22,6.68E-21
ENSG00000197429,8.885630017,-1.593944433,0.76446585,0.009015648,0.022186707
ENSG00000197442,2.969932759,-2.363489099,1.623111259,0.014570218,0.033691593
ENSG00000197448,31.83394653,-3.15912858,0.439398071,1.03E-13,1.13E-12
ENSG00000197451,274.6169759,-0.316492275,0.139828787,0.022413868,0.048775595
ENSG00000197461,36.61404615,2.852212642,0.4507506,4.49E-11,4.01E-10
ENSG00000197483,11.78841459,1.426359104,0.649231802,0.008738583,0.021585608
ENSG00000197506,32.21021981,-1.553022473,0.436753643,0.000113925,0.00044986
ENSG00000197530,23.30018891,0.92787861,0.441714303,0.020204995,0.044598832
ENSG00000197540,10.11456464,6.929761103,2.575116529,2.98E-06,1.53E-05
ENSG00000197565,32.58438096,1.190407864,0.354734618,0.00035858,0.001273546
ENSG00000197599,9.614157414,2.841792148,0.995847156,0.000656064,0.002191925
ENSG00000197601,75.75246172,1.4770136,0.262827786,6.86E-09,4.93E-08
ENSG00000197608,41.61939422,0.882459096,0.330584276,0.004743651,0.012675414
ENSG00000197614,26.68237407,-2.457354287,0.465272178,2.03E-08,1.37E-07
ENSG00000197622,193.9617606,-1.084150885,0.154059749,1.04E-12,1.06E-11
ENSG00000197632,241.7893039,-0.561945521,0.14333101,7.42E-05,0.000303113
ENSG00000197641,33.77514249,-3.155917351,0.471164462,2.61E-12,2.56E-11
ENSG00000197647,25.37384848,2.188720344,0.450890517,2.38E-07,1.42E-06
ENSG00000197694,147.1496787,0.712022625,0.178070189,4.80E-05,0.000204206
ENSG00000197696,33.54493565,1.179793175,0.375694777,0.000769477,0.002534583
ENSG00000197712,16.18863495,-1.423134419,0.547101073,0.003032414,0.008564336
ENSG00000197713,40.24912994,-1.321286313,0.341927846,4.46E-05,0.000190744
ENSG00000197714,17.11323499,1.556316222,0.570329021,0.001891211,0.00564652
ENSG00000197724,35.58414628,1.393198799,0.368942261,5.97E-05,0.000249023
ENSG00000197728,83.18039097,-1.601993611,0.268044751,6.96E-10,5.54E-09
ENSG00000197746,513.4081721,-1.205494601,0.096262205,2.77E-36,8.98E-35
ENSG00000197747,1203.733936,-2.451485573,0.088566056,1.95E-169,4.34E-167
ENSG00000197756,349.9365632,-1.492760028,0.11460659,2.96E-39,1.05E-37
ENSG00000197763,5.063844321,-2.105212988,1.077346449,0.007305242,0.018512409
ENSG00000197771,34.0345608,-1.195614016,0.367218618,0.000506542,0.001733159
ENSG00000197779,11.93566141,1.23016836,0.612926817,0.017153843,0.038792387
ENSG00000197780,312.7592393,1.743271183,0.134966603,1.07E-38,3.74E-37
ENSG00000197808,13.96284287,1.663266983,0.644698615,0.002560939,0.007395772
ENSG00000197818,31.51002437,3.56348653,0.514213864,8.40E-13,8.61E-12
ENSG00000197837,101.4278053,6.917200921,0.814136177,1.10E-16,1.44E-15
ENSG00000197857,32.6108499,3.233389895,0.463420452,5.35E-13,5.59E-12
ENSG00000197858,28.93701926,-1.76389255,0.414345842,5.33E-06,2.63E-05
ENSG00000197879,76.37792056,-0.601240466,0.241406528,0.010220673,0.024781538
ENSG00000197894,28.44766342,-2.411893273,0.433174435,4.54E-09,3.34E-08
ENSG00000197903,399.0021983,3.260821289,0.194009809,1.71E-64,1.02E-62
ENSG00000197905,11.80961724,1.309328308,0.672626849,0.017620441,0.039661594
ENSG00000197921,16.56431641,-1.38520225,0.628042005,0.008738594,0.021585608
ENSG00000197930,35.56555327,-1.172468077,0.353369804,0.000414192,0.001448672
ENSG00000197948,55.63563594,1.933185138,0.332378808,1.52E-09,1.17E-08
ENSG00000197956,3538.924566,-2.517049363,0.079461633,3.94E-221,1.27E-218
ENSG00000197958,573.7271769,-2.394693834,0.111006267,5.76E-104,6.32E-102
ENSG00000197961,120.8657047,3.371564396,0.284290889,4.21E-33,1.22E-31
ENSG00000197976,222.6808787,3.100031611,0.184454005,3.76E-64,2.22E-62
ENSG00000197982,49.25855593,-1.19266269,0.310027386,5.42E-05,0.000228405
ENSG00000197989,38.82409461,0.814435339,0.348136082,0.012702935,0.030025874
