"","ID","MetaColumn","MetaRow","Column","Row","CLONE_ID","SPOT_ID","Reporter.Species","Reporter.BioSequence.Database.Entry..preferredName.","Repoter.Biosequence.Type","Repoter.BioSequence.PolymerType","CompositeSequence.Identifier","GeneId","CompositeSequence.Biosequence.Type","Plate.Identifier","Plate.Row","Plate.Column","LUID","Failed","Contaminated","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC"
"11506",11506,1,4,16,24,"IMAGE:2569003","","Homo sapiens","cDNA_clone","DNA","Experimental","","","","D",16,542488,0,"U","U",-0.7665,-0.31,-4.58422430059343,0.000362838467273364,0.00622890281535713,-0.19346897654527,-0.7665
"42329",42329,4,12,29,1,"","LC:18006","Homo sapiens","cDNA_clone","DNA","Experimental","","","","I",12,18006,0,"U","U",0.832583333333333,-1.15292857142857,4.58243170965076,0.00036412749811081,0.00624800466855222,-0.1970536914621,0.832583333333333
"1600",1600,2,1,10,24,"IMAGE:130242","","Homo sapiens","cDNA_clone","DNA","Experimental","Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)","gene","DNA","G",13,509163,0,"U","U",-0.887541666666667,0.431,-4.58142525770319,0.000364853285487985,0.00625486334872901,-0.199066448280462,-0.887541666666667
"2556",2556,3,1,6,26,"IMAGE:1351354","","Homo sapiens","cDNA_clone","DNA","Experimental","","","","F",13,24607,0,"U","U",-0.789833333333333,0.497,-4.58138328955272,0.000364883582409829,0.00625486334872901,-0.19915038024467,-0.789833333333333
"14300",14300,4,4,20,27,"VACWR117","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","M",16,30722,0,"U","U",5.84245833333333,-1.68021428571429,4.58098298765401,0.000365172691266562,0.00625486334872901,-0.199950949901547,5.84245833333333
"14985",14985,1,5,15,20,"IMAGE:51946","","Homo sapiens","cDNA_clone","DNA","Experimental","283459","gene","DNA","D",5,522959,0,"U","U",-0.822958333333333,-0.0710714285714286,-4.5808990804045,0.000365233321155994,0.00625486334872901,-0.200118758901956,-0.822958333333333
"14340",14340,4,4,30,28,"VACWR117","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","M",16,30722,0,"U","U",6.29141666666667,-1.87742857142857,4.5800543365741,0.000365844294063811,0.00626229993795315,-0.201808223197534,6.29141666666667
"8887",8887,2,3,7,27,"","C15L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","G",3,30191,0,"U","U",3.847125,0.270642857142857,4.57890034694511,0.000366680629382736,0.00627250009937984,-0.204116264541454,3.847125
"33541",33541,2,10,1,9,"IMAGE:264895","","Homo sapiens","cDNA_clone","DNA","Experimental","TRAFD1","gene","DNA","C",10,508849,0,"U","U",1.41979166666667,-0.447642857142857,4.57874379745611,0.000366794237177632,0.00627250009937984,-0.204429380298167,1.41979166666667
"35102",35102,4,10,2,1,"IMAGE:712329","","Homo sapiens","cDNA_clone","DNA","Experimental","**Chromosome 21 open reading frame 66","gene","DNA","A",22,1163,0,"U","U",1.817625,-0.154142857142857,4.57807398661227,0.000367280726345692,0.00627778966551226,-0.205769096305207,1.817625
