ID,logFC,common,gene_id,gene_name,gene_name_old
1743,9.462,,3375,IAPP,
11626,7.977458333,,520,ATP5MC2P1,
8886,7.106166667,,642,BLMH,
826,8.204041667,,28345,IGHVIII-44,
17026,6.590291667,,7965,AIMP2,
10734,8.016041667,,4336,MOBP,
28725,6.632833333,,6773,STAT2,
1703,9.373625,,4111,MAGEA12,
6197,7.089541667,,3386,ICAM4,
32298,6.216166667,,2842,GPR19,
21526,6.545916667,,657,BMPR1A,
22419,9.005875,,8822,FGF17,
34994,5.895083333,,4105,MAGEA6,
38620,8.680125,,2848,GPR25,
20595,7.597041667,,2968,GTF2H4,
8031,6.993125,,6540,SLC6A13,
21486,6.440833333,,26707,OR2J2,
14285,7.398625,,8842,PROM1,
20635,8.406,,5210,PFKFB4,
29593,7.606833333,,3398,ID2,
4401,7.809666667,,7074,TIAM1,
18853,8.322125,,2852,GPER1,
29633,7.971875,,10242,KCNMB2,
26928,5.463041667,,6534,SLC6A7,
3552,7.068291667,,669,BPGM,
2633,8.136875,,5208,PFKFB2,
7991,7.28275,,5209,PFKFB3,
15190,7.335916667,,6791,AURKAP1,
25099,6.404458333,,7080,NKX2-1,
24228,7.383541667,,1414,CRYBB1,
27803,4.885208333,,676,BRDT,
13434,7.17675,,4246,SCGB2A1,
31389,6.130958333,,8723,SNX4,
31386,7.08725,,1659,DHX8,
799,7.540416667,,5232,PGK2,
26028,8.034541667,,6444,SGCD,
817,7.923875,,10580,SORBS1,
26055,8.881583333,,2760,GM2A,
31393,7.760041667,,3178,HNRNPA1,
26940,7.606666667,,3298,HSF2,
26914,9.01225,,9392,TGFBRAP1,
32340,5.74375,,3174,HNF4G,
6212,7.181,,682,BSG,
35953,7.749458333,,2876,GPX1,
11601,7.060166667,,563,AZGP1,
8926,7.012041667,,1543,CYP1A1,
36070,1.767791667,,687,KLF9,
11657,5.169041667,,8614,STC2,
7089,5.691791667,,3846,KRTAP5-9,
19725,6.588208333,,7541,ZBTB14,
11586,7.669041667,,339,APOBEC1,
35913,7.9635,,7539,ZFP37,
17927,7.366541667,,7792,CCV,
7130,6.098166667,,7430,EZR,
4441,7.699375,,7435,VIS1,
34093,7.0705,,9731,CEP104,
21539,6.663541667,,9732,DOCK4,
14290,4.811708333,,342,APOC1P1,
9790,4.676375,,3744,KCNA10,
1730,7.776458333,,,,
15238,8.613166667,,,,
10725,8.256875,,,,
3512,6.855791667,,,,
34112,7.21575,,,,
35954,7.335083333,,,,
3488,7.445625,,,,
17898,5.80375,,,,
17929,7.018,,,,
21488,8.183833333,,,,
23470,2.208958333,,,,
7129,5.4535,,,,
26038,7.393583333,,,,
11636,7.181708333,,,,
30494,6.896,,,,
3781,2.641708333,,,,
29636,6.791458333,,,,
16229,1.870083333,,,,
786,7.778791667,,,,
1734,6.963916667,,,,
3528,7.6035,,,,
7090,6.134708333,,,,
27840,6.991041667,,,,
11596,7.263291667,,,,
19720,7.951041667,,,,
14355,6.977666667,,,,
19691,7.408666667,,,,
26954,9.015416667,,,,
40425,7.364333333,,,,
12628,2.138125,,,,
26889,6.015416667,,,,
27839,6.27275,,,,
23338,6.95825,,,,
26959,8.743375,,,,
35929,5.988916667,,,,
31429,6.147416667,,,,
12518,7.509333333,,,,
23315,7.409208333,,,,
23286,7.502208333,,,,
24185,5.864666667,,,,
11942,2.922875,,,,
25988,7.909833333,,,,
35889,6.295958333,,,,
9069,2.362,,,,
29598,7.27725,,,,
4443,8.571166667,,,,
3497,7.71225,,,,
4403,8.55525,,,,
17947,8.319791667,,,,
11661,7.759291667,,,,
17061,7.76675,,,,
17028,7.027333333,,,,
34159,7.0175,,,,
30490,7.466541667,,,,
36255,1.884791667,,,,
20591,8.493916667,,,,
9825,7.103666667,,,,
43160,8.564666667,,,,
8058,7.851625,,,,
7994,7.674791667,,,,
11621,7.648833333,,,,
8941,6.800375,,,,
27834,7.918708333,,,,
25100,6.86225,,,,
29657,8.0285,,,,
11651,7.164708333,,,,
22429,6.440333333,,,,
34096,5.874208333,,,,
34136,6.388333333,,,,
29652,8.335958333,,,,
34098,6.396,,,,
22414,8.534166667,,,,
8901,6.447583333,,,,
27800,6.575916667,,,,
29619,8.195458333,,,,
10685,7.444083333,,,,
2630,6.271958333,,,,
35040,6.254041667,,,,
9838,6.425666667,,,,
16987,7.169916667,,,,
15191,7.444625,,,,
33230,7.478333333,,,,
8018,8.231083333,,,,
33194,6.994875,,,,
27799,6.369125,,,,
33234,6.681875,,,,
11883,2.052541667,,,,
15231,7.226458333,,,,
24225,6.013791667,,,,
19698,6.880875,,,,
42225,6.727208333,,,,
1738,7.136166667,,,,
11728,2.617166667,,,,
12552,7.31575,,,,
25986,6.785166667,,,,
22389,6.284125,,,,
29596,6.360041667,,,,
4434,7.261916667,,,,
41317,7.988333333,,,,
23293,6.122208333,,,,
27835,5.706,,,,
30534,6.794916667,,,,
20631,7.965333333,,,,
17938,5.746916667,,,,
41291,6.03425,,,,
8921,6.63475,,,,
27794,6.280375,,,,
30492,6.081791667,,,,
30530,7.51225,,,,
21534,6.736166667,,,,
29638,6.856958333,,,,
33190,7.229083333,,,,
23292,7.724958333,,,,
34152,7.916625,,,,
9830,4.76575,,,,
7135,9.697583333,,,,
19738,7.005333333,,,,
31439,5.5125,,,,
25103,5.804541667,,,,
4430,7.297875,,,,
4390,7.351708333,,,,
2590,6.435416667,,,,
23355,7.369916667,,,,
22388,5.109541667,,,,
29612,7.775958333,,,,
17901,6.778458333,,,,
24234,5.01425,,,,
36794,5.517833333,,,,
6228,6.755625,,,,
8944,5.003916667,,,,
2620,7.743791667,,,,
37829,1.9085,,,,
40400,5.050583333,,,,
17907,7.797208333,,,,
18833,5.198,,,,
22416,8.762,,,,
16988,7.10675,,,,
36068,1.6335,,,,
26026,7.169083333,,,,
16986,6.258541667,,,,
35022,7.461291667,,,,
8891,6.252916667,,,,
25998,7.152041667,,,,
17887,7.2835,,,,
43095,6.387375,,,,
29617,7.900291667,,,,
40426,6.161333333,,,,
8896,5.603916667,,,,
16113,6.471541667,,,,
8052,7.67775,,,,
7093,7.709625,,,,
8931,6.329666667,,,,
25085,7.912541667,,,,
37685,6.692,,,,
38660,8.628458333,,,,
11617,5.172583333,,,,
36831,5.818541667,,,,
7120,7.491333333,,,,
43155,5.44525,,,,
36031,2.008125,,,,
21499,6.439291667,,,,
3496,6.768916667,,,,
40440,5.035333333,,,,
6236,6.751208333,,,,
3536,6.601416667,,,,
2589,6.57425,,,,
22459,9.973458333,,,,
4405,7.358166667,,,,
36811,7.191708333,,,,
36791,5.618958333,,,,
18813,7.6125,,,,
1713,5.727958333,,,,
11591,6.862375,,,,
26015,8.047916667,,,,
1705,8.003375,,,,
14333,7.816416667,,,,
24441,1.419083333,,,,
1690,7.666916667,,,,
33232,6.072458333,,,,
8126,2.134625,,,,
21513,3.566291667,,,,
36834,5.736416667,,,,
8936,5.972041667,,,,
26917,8.878958333,,,,
17914,6.781875,,,,
8951,5.758333333,,,,
3501,6.40825,,,,
21494,5.816791667,,,,
34119,6.956916667,,,,
21519,6.568541667,,,,
33311,1.666916667,,,,
15198,7.598958333,,,,
43129,4.512958333,,,,
17954,7.135625,,,,
36029,2.410291667,,,,
30486,7.44175,,,,
31399,5.141666667,,,,
8917,4.006958333,,,,
26929,5.897416667,,,,
10747,6.839166667,,,,
14320,5.59525,,,,
34138,6.549208333,,,,
14360,4.9755,,,,
6188,6.718291667,,,,
31454,7.28675,,,,
1745,7.74175,,,,
16100,5.54725,,,,
4398,5.197166667,,,,
23333,5.5695,,,,
34117,6.494833333,,,,
34226,1.716833333,,,,
36071,2.076541667,,,,
25125,7.842875,,,,
35920,7.740416667,,,,
3498,6.436625,,,,
1691,7.444208333,,,,
14315,6.210666667,,,,
14293,7.744708333,,,,
12302,2.101625,,,,
11611,6.754,,,,
36816,6.372625,,,,
23298,6.565125,,,,
35960,7.308583333,,,,
12301,2.845666667,,,,
6252,6.772958333,,,,
4431,7.254625,,,,
28738,4.973,,,,
33209,7.417,,,,
16153,6.1575,,,,
3505,6.537375,,,,
35062,7.251583333,,,,
15384,2.900625,,,,
27785,7.759375,,,,
3541,6.72475,,,,
4391,7.138875,,,,
8012,7.58925,,,,
16087,3.984041667,,,,
38653,7.998958333,,,,
21559,6.648625,,,,
12186,1.703291667,,,,
12488,6.329,,,,
26891,5.978333333,,,,
36069,1.641291667,,,,
14358,7.433458333,,,,
31414,7.299583333,,,,
9785,6.635416667,,,,
11605,5.6985,,,,
11641,6.777833333,,,,
30549,7.153916667,,,,
22417,8.7515,,,,
9828,6.3645,,,,
8029,7.169916667,,,,
12528,6.048625,,,,
8016,7.927958333,,,,
12391,1.137458333,,,,
6186,6.753041667,,,,
18809,7.8685,,,,
6196,6.357666667,,,,
24238,4.852666667,,,,
27795,4.568583333,,,,
13455,5.995333333,,,,
38629,4.303416667,,,,
22391,5.801708333,,,,
8130,1.702625,,,,
14362,7.032666667,,,,
16999,6.467,,,,
20601,6.814083333,,,,
26957,8.4485,,,,
4453,5.780291667,,,,
17941,6.69975,,,,
31413,6.931708333,,,,
32322,7.419625,,,,
3538,6.243833333,,,,
10701,6.002333333,,,,
7270,2.334458333,,,,
32362,7.12225,,,,
18849,7.014083333,,,,
42187,8.401416667,,,,
36856,6.057166667,,,,
13415,5.762291667,,,,
6238,6.779291667,,,,
34157,6.404,,,,
32313,4.505416667,,,,
26956,8.171375,,,,
11634,7.966166667,,,,
39493,4.736041667,,,,
3525,7.020208333,,,,
15439,2.570708333,,,,
27825,7.622583333,,,,
32405,1.875041667,,,,
1753,6.126666667,,,,
21535,5.279791667,,,,
10745,7.439208333,,,,
15226,5.899791667,,,,
2653,7.502041667,,,,
38613,7.306208333,,,,
39530,5.415208333,,,,
8258,1.7145,,,,
31453,7.069833333,,,,
18855,7.893375,,,,
2660,7.355333333,,,,
23341,6.093958333,,,,
36433,1.365041667,,,,
26925,7.281125,,,,
30526,7.437208333,,,,
26885,7.181375,,,,
5195,2.897333333,,,,
10060,1.952666667,,,,
38591,5.627333333,,,,
36553,1.617083333,,,,
15186,5.951083333,,,,
7097,6.582791667,,,,
27015,1.415791667,,,,
13405,7.703125,,,,
3485,6.926416667,,,,
7989,7.140541667,,,,
15192,4.957041667,,,,
2613,6.696625,,,,
17034,6.266416667,,,,
39551,6.823125,,,,
15232,5.184333333,,,,
39533,4.640375,,,,
41550,1.611041667,,,,
36030,1.589208333,,,,
11645,6.055166667,,,,
7265,1.753583333,,,,
39538,3.391541667,,,,
25143,6.055458333,,,,
22425,7.35125,,,,
38654,6.442875,,,,
41316,5.072833333,,,,
26001,5.5705,,,,
6225,6.336041667,,,,
28720,7.318416667,,,,
36555,1.984,,,,
8961,6.056458333,,,,
14318,6.931041667,,,,
2637,6.750833333,,,,
34130,7.433583333,,,,
11594,7.463666667,,,,
9072,2.042125,,,,
36254,1.648041667,,,,
