Category,ID,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0001975,response to amphetamine,3,1.214574899,0.069501831,"EDN1, RGS2, CALM3",235,36,19453,6.89822695,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0031536,positive regulation of exit from mitosis,2,0.809716599,0.070046739,"CDCA5, BIRC5",235,6,19453,27.5929078,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0010193,response to ozone,2,0.809716599,0.070046739,"IL1A, EDN1",235,6,19453,27.5929078,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0006102,isocitrate metabolic process,2,0.809716599,0.070046739,"IDH3B, ACO2",235,6,19453,27.5929078,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0007100,mitotic centrosome separation,2,0.809716599,0.070046739,"KIF11, AURKA",235,6,19453,27.5929078,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0071373,cellular response to luteinizing hormone stimulus,2,0.809716599,0.070046739,"CCNA2, EDN1",235,6,19453,27.5929078,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0006915,apoptotic process,13,5.263157895,0.071739769,"BUB1B, THBS1, RHOB, AURKA, IL1A, TPX2, MIEN1, CTSK, CTSH, BIRC5, SGK1, ZNF385A, PPARD",235,619,19453,1.738486921,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0006366,transcription from RNA polymerase II promoter,7,2.834008097,0.071986708,"EDN1, EHF, BCL11B, NCAPG2, POLR2F, TRIP13, POLR2K",235,241,19453,2.404361261,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0002244,hematopoietic progenitor cell differentiation,4,1.619433198,0.072006425,"KITLG, CITED2, FST, SSBP3",235,80,19453,4.13893617,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0002052,positive regulation of neuroblast proliferation,3,1.214574899,0.072908835,"ASPM, WDR62, HIF1A",235,37,19453,6.711788384,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0021987,cerebral cortex development,4,1.619433198,0.076303583,"ASPM, TUBB2A, WDR62, HIF1A",235,82,19453,4.037986508,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0000070,mitotic sister chromatid segregation,3,1.214574899,0.076368638,"NCAPG2, SMC1A, NDC80",235,38,19453,6.535162374,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0071456,cellular response to hypoxia,5,2.024291498,0.078616403,"CCNA2, EDN1, HIF1A, AQP3, PPARD",235,134,19453,3.088758336,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0046605,regulation of centrosome cycle,2,0.809716599,0.081236591,"WDR62, AURKA",235,7,19453,23.65106383,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0019216,regulation of lipid metabolic process,3,1.214574899,0.087047502,"BCL11B, ADIPOR1, PPARD",235,41,19453,6.056979761,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0071356,cellular response to tumor necrosis factor,5,2.024291498,0.088932475,"EDN1, CTSK, GBP2, THBS1, GSDME",235,140,19453,2.956382979,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0045184,establishment of protein localization,3,1.214574899,0.090701333,"CHMP2A, PHLDB2, CEP55",235,42,19453,5.912765957,1,1,0.996277916
GOTERM_BP_DIRECT,GO:1902600,hydrogen ion transmembrane transport,5,2.024291498,0.090712474,"SLC15A1, COX7B, ATP6AP1, ATP5PB, COX4I1",235,141,19453,2.935415724,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0007018,microtubule-based movement,4,1.619433198,0.092197094,"KIF4A, KIF2C, KIF20A, KIF11",235,89,19453,3.720392063,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0006776,vitamin A metabolic process,2,0.809716599,0.092292368,"RBP1, PPARD",235,8,19453,20.69468085,1,1,0.996277916
