,category,ID,term,count,genes,logFC,adj_pval,zscore
245,BP,GO:0030036,actin cytoskeleton organization,10,VASP,1.660345002,0.015507495,3.16227766
246,BP,GO:0030036,actin cytoskeleton organization,10,INF2,1.606247066,0.015507495,3.16227766
247,BP,GO:0030036,actin cytoskeleton organization,10,PDLIM2,1.32459423,0.015507495,3.16227766
248,BP,GO:0030036,actin cytoskeleton organization,10,IQSEC1,1.391872072,0.015507495,3.16227766
249,BP,GO:0030036,actin cytoskeleton organization,10,CDC42BPG,1.344976019,0.015507495,3.16227766
250,BP,GO:0030036,actin cytoskeleton organization,10,SPIRE1,1.304672153,0.015507495,3.16227766
251,BP,GO:0030036,actin cytoskeleton organization,10,KRAS,1.185149494,0.015507495,3.16227766
252,BP,GO:0030036,actin cytoskeleton organization,10,CDC42BPB,1.025286988,0.015507495,3.16227766
253,BP,GO:0030036,actin cytoskeleton organization,10,ARFGEF3,1.924103833,0.015507495,3.16227766
254,BP,GO:0030036,actin cytoskeleton organization,10,PDLIM7,1.407161692,0.015507495,3.16227766
255,BP,GO:0007264,small GTPase mediated signal transduction,7,DOCK11,1.926651333,0.016621062,2.645751311
256,BP,GO:0007264,small GTPase mediated signal transduction,7,CCDC88A,1.649283327,0.016621062,2.645751311
257,BP,GO:0007264,small GTPase mediated signal transduction,7,RGS19,1.180476593,0.016621062,2.645751311
258,BP,GO:0007264,small GTPase mediated signal transduction,7,RASGEF1A,2.070404766,0.016621062,2.645751311
259,BP,GO:0007264,small GTPase mediated signal transduction,7,DOCK9,1.224664632,0.016621062,2.645751311
260,BP,GO:0007264,small GTPase mediated signal transduction,7,SH2D3A,1.206875704,0.016621062,2.645751311
261,BP,GO:0007264,small GTPase mediated signal transduction,7,VAV2,1.148022521,0.016621062,2.645751311
262,BP,GO:0016024,CDP-diacylglycerol biosynthetic process,3,GPAT4,1.073009902,0.018887711,1.732050808
263,BP,GO:0016024,CDP-diacylglycerol biosynthetic process,3,AGPAT2,1.684830051,0.018887711,1.732050808
264,BP,GO:0016024,CDP-diacylglycerol biosynthetic process,3,CDS2,1.092451805,0.018887711,1.732050808
265,BP,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,3,XBP1,1.502808348,0.018887711,1.732050808
266,BP,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,3,LRP1,1.124225932,0.018887711,1.732050808
267,BP,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,3,SNX25,1.047242918,0.018887711,1.732050808
268,BP,GO:0033169,histone H3-K9 demethylation,3,KDM4B,1.387031438,0.018887711,1.732050808
269,BP,GO:0033169,histone H3-K9 demethylation,3,KDM3A,1.211597239,0.018887711,1.732050808
270,BP,GO:0033169,histone H3-K9 demethylation,3,KDM7A,1.214637146,0.018887711,1.732050808
271,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,SH2D3A,1.206875704,0.019182591,2.449489743
