Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,,FDR
KEGG_PATHWAY,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,13,1.040832666,7.76E-04,"CXCL8, CHUK, CXCL1, CXCL3, CXCL2, RELA, NFKB1, NFKBIA, IKBKB, MAPK8, IKBKG, MAP3K14, ATP6V1C1",512,70,8586,3.114341518,0.204083018,0.010865324,,0.008869652
KEGG_PATHWAY,hsa04137:Mitophagy - animal,13,1.040832666,0.001005663,"GABARAPL1, CSNK2A2, TFE3, RRAS2, RELA, RHOT2, MAP1LC3B, MAPK8, UBB, UBC, ULK1, SQSTM1, ATF4",512,72,8586,3.027832031,0.256074074,0.012926928,,0.010552595
KEGG_PATHWAY,hsa04062:Chemokine signaling pathway,24,1.92153723,0.00101129,"CCL24, CXCL6, CXCL8, CHUK, CCL20, PXN, PRKCD, PIK3CD, BRAF, CXCL1, CXCL3, CXCL2, ADCY7, ADCY6, RELA, NFKB1, CRKL, RAP1B, NFKBIA, IKBKB, AKT3, PTK2B, IKBKG, BCAR1",512,192,8586,2.096191406,0.257304982,0.012926928,,0.010552595
KEGG_PATHWAY,hsa05202:Transcriptional misregulation in cancer,24,1.92153723,0.001085919,"ATF1, NGFR, DDX5, ITGAM, CCNT2, CXCL8, GADD45B, KMT2A, TFE3, JMJD1C, BMI1, ETV5, RELA, NFKB1, GADD45G, PER2, ZEB1, SIX4, EWSR1, DDIT3, NFKBIZ, NSD2, REL, RARA",512,193,8586,2.085330311,0.273439658,0.013302511,,0.010859193
KEGG_PATHWAY,hsa05162:Measles,19,1.521216974,0.001328963,"HSPA8, HSPA1L, CHUK, HSPA6, CSNK2A2, PIK3CD, FOS, RCHY1, RELA, NFKB1, CASP9, NFKBIA, IKBKB, MAPK8, TRAF3, AKT3, IKBKG, HSPA1B, HSPA1A",512,138,8586,2.308848505,0.323602828,0.0156286,,0.01275804
KEGG_PATHWAY,hsa05163:Human cytomegalovirus infection,26,2.081665332,0.001831769,"ATF2, CXCL8, PXN, PIK3CD, CGAS, ELK1, ADCY7, RELA, ADCY6, CRKL, CASP9, IKBKB, GNA13, AKT3, PTK2B, E2F3, IKBKG, IL6R, CHUK, NFATC1, HLA-F, NFKB1, NFKBIA, BCAR1, ATF4, CREB5",512,225,8586,1.9378125,0.416688483,0.020713079,,0.016908636
KEGG_PATHWAY,hsa04211:Longevity regulating pathway,14,1.120896717,0.002199669,"ATF2, PIK3CD, IRS2, ADCY7, SIRT1, ADCY6, RELA, NFKB1, RB1CC1, AKT3, SESN2, ULK1, CREB5, ATF4",512,89,8586,2.637903792,0.476603036,0.023277266,,0.01900185
KEGG_PATHWAY,hsa04150:mTOR signaling pathway,20,1.601281025,0.002230407,"CHUK, PIK3CD, BRAF, SLC3A2, WNT9A, LRP6, IKBKB, FLCN, WNT6, RRAGC, AKT3, SESN2, GRB10, DVL3, ULK1, LPIN1, FNIP1, LPIN2, ATP6V1C1, WNT3",512,156,8586,2.149939904,0.481322012,0.023277266,,0.01900185
KEGG_PATHWAY,hsa03018:RNA degradation,13,1.040832666,0.002296057,"TENT4A, ENO2, ENO3, TENT4B, PATL1, HSPD1, CNOT4, EDC4, EXOSC6, PNLDC1, CNOT3, PABPC1L, DCP1A",512,79,8586,2.759543117,0.491259319,0.023277266,,0.01900185
KEGG_PATHWAY,hsa04917:Prolactin signaling pathway,12,0.960768615,0.002625688,"SOCS2, SOCS3, MAPK8, SOCS1, IRF1, AKT3, LHB, PIK3CD, FOS, RELA, NFKB1, SOCS4",512,70,8586,2.874776786,0.538358867,0.025731741,,0.021005503
KEGG_PATHWAY,hsa04210:Apoptosis,18,1.441152922,0.002835438,"GADD45B, CHUK, PIK3CD, TNFRSF10B, FOS, RELA, NFKB1, GADD45G, CASP9, NFKBIA, IKBKB, MAPK8, DDIT3, AKT3, PMAIP1, IKBKG, MAP3K14, ATF4",512,136,8586,2.219496783,0.566039927,0.026495625,,0.021629081
KEGG_PATHWAY,hsa04213:Longevity regulating pathway - multiple species,11,0.880704564,0.002950732,"HSPA8, HSPA1L, AKT3, HSPA6, PIK3CD, IRS2, ADCY7, SIRT1, ADCY6, HSPA1B, HSPA1A",512,61,8586,3.024013832,0.580544359,0.026495625,,0.021629081
KEGG_PATHWAY,hsa04915:Estrogen signaling pathway,18,1.441152922,0.00306412,"ATF2, HSPA8, GABBR1, HSP90AB1, HSPA1L, PRKCD, HSPA6, PIK3CD, FOS, ADCY7, ADCY6, GPER1, AKT3, RARA, HSPA1B, HSPA1A, CREB5, ATF4",512,137,8586,2.203296077,0.594337691,0.026495625,,0.021629081
KEGG_PATHWAY,hsa05135:Yersinia infection,18,1.441152922,0.00306412,"CXCL8, CHUK, PXN, PIK3CD, NFATC1, FOS, RELA, NFKB1, CRKL, NFKBIA, IKBKB, MAPK8, AKT3, PTK2B, PIP5K1A, IKBKG, ITGA5, BCAR1",512,137,8586,2.203296077,0.594337691,0.026495625,,0.021629081
KEGG_PATHWAY,hsa04662:B cell receptor signaling pathway,13,1.040832666,0.003869305,"CHUK, INPPL1, PIK3CD, NFATC1, FOS, BCL10, RELA, NFKB1, NFKBIA, IKBKB, AKT3, IKBKG, NFKBIE",512,84,8586,2.595284598,0.680111275,0.032502159,,0.026532375
KEGG_PATHWAY,hsa04936:Alcoholic liver disease,18,1.441152922,0.004449276,"CXCL8, CHUK, CXCL1, CXCL3, CXCL2, SIRT1, CPT1B, RELA, NFKB1, NFKBIA, IKBKB, MAPK8, TRAF3, AKT3, IKBKG, LPIN1, MAP3K14, LPIN2",512,142,8586,2.125715229,0.730451204,0.035134262,,0.02868103
KEGG_PATHWAY,hsa04722:Neurotrophin signaling pathway,16,1.28102482,0.004527483,"NGFR, MAP3K3, ZNF274, PRKCD, PIK3CD, BRAF, RELA, NFKB1, CRKL, RAP1B, NFKBIA, IKBKB, MAPK8, AKT3, NFKBIE, ATF4",512,119,8586,2.254726891,0.736605494,0.035134262,,0.02868103
KEGG_PATHWAY,hsa04659:Th17 cell differentiation,15,1.200960769,0.004661481,"TGFB1, HSP90AB1, CHUK, NFATC1, FOS, RELA, NFKB1, NFKBIA, IKBKB, MAPK8, RARA, IKBKG, IL6ST, NFKBIE, IL6R",512,108,8586,2.329101563,0.746826312,0.035134262,,0.02868103
KEGG_PATHWAY,hsa04931:Insulin resistance,15,1.200960769,0.004661481,"CRTC2, PRKCD, OGA, PIK3CD, IRS2, CPT1B, RELA, NFKB1, NFKBIA, IKBKB, SOCS3, MAPK8, AKT3, OGT, CREB5",512,108,8586,2.329101563,0.746826312,0.035134262,,0.02868103
KEGG_PATHWAY,hsa04550:Signaling pathways regulating pluripotency of stem cells,18,1.441152922,0.004780172,"PCGF5, PCGF2, LIF, AXIN1, PIK3CD, LIFR, INHBA, WNT9A, BMI1, WNT6, REST, AKT3, DVL3, HOXA1, IL6ST, SKIL, WNT3, FGFR1",512,143,8586,2.110850087,0.755548947,0.035134262,,0.02868103
KEGG_PATHWAY,"hsa04935:Growth hormone synthesis, secretion and action",16,1.28102482,0.004899883,"ATF2, PIK3CD, IRS2, FOS, ADCY7, ADCY6, CRKL, SOCS2, SOCS3, MAPK8, SOCS1, AKT3, JUNB, BCAR1, CREB5, ATF4",512,120,8586,2.2359375,0.764043212,0.035135749,,0.028682244
KEGG_PATHWAY,hsa04930:Type II diabetes mellitus,9,0.720576461,0.005233936,"SOCS2, IKBKB, SOCS3, MAPK8, SOCS1, PRKCD, PIK3CD, IRS2, SOCS4",512,46,8586,3.280995245,0.786222224,0.03621512,,0.029563363
KEGG_PATHWAY,hsa04660:T cell receptor signaling pathway,16,1.28102482,0.005296769,"CHUK, PIK3CD, NFATC1, FOS, BCL10, RELA, NFKB1, NFKBIA, IKBKB, MAPK8, PPP2R2D, AKT3, FYN, IKBKG, NFKBIE, MAP3K14",512,121,8586,2.217458678,0.790155598,0.03621512,,0.029563363
KEGG_PATHWAY,hsa05221:Acute myeloid leukemia,11,0.880704564,0.005899853,"PER2, IKBKB, ITGAM, CHUK, AKT3, RARA, PIK3CD, BRAF, IKBKG, RELA, NFKB1",512,67,8586,2.753206623,0.824425866,0.039322624,,0.032100102
KEGG_PATHWAY,hsa05200:Pathways in cancer,47,3.763010408,0.006029938,"CXCL8, HSP90AB1, TERC, LPAR2, PIK3CD, CBL, ETS1, ELK1, DLL1, ADCY7, RELA, ADCY6, LRP6, CRKL, CASP9, IKBKB, GNA13, WNT6, MAPK8, AKT3, DVL3, PMAIP1, E2F3, IKBKG, IL6R, WNT3, TGFB1, EGLN2, GADD45B, LAMB3, CHUK, LAMB2, MMP1, AXIN1, BRAF, FOS, WNT9A, NFKB1, GADD45G, NFKB2, NFKBIA, TRAF4, TRAF3, FGF19, RARA, IL6ST, FGFR1",512,531,8586,1.484308792,0.831052679,0.039322624,,0.032100102
KEGG_PATHWAY,hsa05235:PD-L1 expression and PD-1 checkpoint pathway in cancer,13,1.040832666,0.006212526,"MAP3K3, CHUK, CSNK2A2, PIK3CD, NFATC1, FOS, RELA, NFKB1, NFKBIA, IKBKB, AKT3, IKBKG, NFKBIE",512,89,8586,2.449482093,0.839935739,0.039322624,,0.032100102
KEGG_PATHWAY,hsa05131:Shigellosis,26,2.081665332,0.00628627,"CXCL8, PXN, UBE2D3, PIK3CD, CGAS, BCL10, FNBP1L, RELA, CRKL, IKBKB, CYTH2, MAP1LC3B, MAPK8, UBB, AKT3, UBC, IKBKG, CHUK, PRKCD, NFKB1, NFKBIA, RRAGC, ARHGEF2, ITGA5, SQSTM1, BCAR1",512,247,8586,1.765213816,0.843390031,0.039322624,,0.032100102
KEGG_PATHWAY,hsa04072:Phospholipase D signaling pathway,18,1.441152922,0.006750594,"DGKD, CXCL8, SPHK1, PLA2G4C, PIK3CD, RRAS2, LPAR2, DGKZ, ADCY7, ADCY6, AGPAT4, GNA13, CYTH2, AKT3, PTK2B, PIP5K1A, FYN, DGKH",512,148,8586,2.039537584,0.863496343,0.04134739,,0.033752971
KEGG_PATHWAY,hsa04910:Insulin signaling pathway,17,1.361088871,0.007225166,"INPPL1, PIK3CD, BRAF, IRS2, CBL, ELK1, CRKL, SOCS2, IKBKB, SOCS3, MAPK8, SOCS1, INPP5A, PHKG1, PHKG2, AKT3, SOCS4",512,137,8586,2.080890739,0.88138944,0.043350995,,0.035388567
KEGG_PATHWAY,hsa04622:RIG-I-like receptor signaling pathway,11,0.880704564,0.008888258,"NFKBIA, IKBKB, CYLD, MAPK8, CXCL8, CHUK, TRAF3, TBKBP1, IKBKG, RELA, NFKB1",512,71,8586,2.598096391,0.927547954,0.052262959,,0.04266364
