,P.Value,adj.P.Val,log2FC
GEMIN4,NA,NA,NA
NKPD1,NA,NA,NA
BACE2,0.199980194,0.308695195,-0.3175
NLRP10,NA,NA,NA
XKRX,NA,NA,NA
EPHB3,0.654014778,0.732603336,-0.2675
NAA38,NA,NA,NA
OVCH2,NA,NA,NA
TBL3,0.002970213,0.02266221,-0.68
CRELD2,NA,NA,NA
ZBTB7C,NA,NA,NA
UBALD2,NA,NA,NA
PSMD13,0.037191059,0.100506157,-0.249125
PMEL,0.045720007,0.114412968,-0.47225
IFIT1,0.009885749,0.045337183,-0.7005
LAMP1,0.000511362,0.009094687,-0.599875
SAPCD2,NA,NA,NA
THBS2,0.018644867,0.06578502,-0.532875
FAM183A,NA,NA,NA
NAP1L1,0.688385714,0.761102402,-0.095375
MT1X,0.375641526,0.486435413,-0.157125
CHP1,NA,NA,NA
ISG15,NA,NA,NA
TPRG1,NA,NA,NA
CLDN4,0.002219503,0.019595476,-0.484375
MAOA,0.095276628,0.185052668,-0.529625
ALG1L,NA,NA,NA
RASSF10,NA,NA,NA
SEMA4A,NA,NA,NA
IPO4,NA,NA,NA
NACA,0.264421065,0.376909271,-0.5905
PELI1,NA,NA,NA
MRPL21,NA,NA,NA
HHLA3,NA,NA,NA
SERPINB2,0.232994659,0.344047123,-0.18875
DPP4,0.424704279,0.532483975,-0.097125
PDCD1LG2,NA,NA,NA
CFD,0.09763293,0.187969005,-0.693625
AADACL2,NA,NA,NA
TMPRSS11F,NA,NA,NA
GET3,3.08E-05,0.002789769,-0.306
MT1F,NA,NA,NA
CTNND1,0.011602868,0.049823526,-0.294375
COPS8,NA,NA,NA
PRC1,0.009874916,0.045329387,-0.49225
RPL39,0.00730478,0.038089581,-0.68225
MFAP3L,NA,NA,NA
MFAP3L.1,NA,NA,NA
LOR,NA,NA,NA
LIPN,NA,NA,NA
MAFB,0.424200647,0.532033332,-0.034125
SMIM5,NA,NA,NA
SDHD,0.597212175,0.684209401,-0.195875
LY6G6C,NA,NA,NA
PSORS1C2,NA,NA,NA
CDSN,0.463244771,0.568379065,-0.350375
HLA-E,0.023869466,0.076525407,-0.595125
MT1H,NA,NA,NA
MT1M,NA,NA,NA
HLA-A,0.062576526,0.140357575,-0.525625
ERV3-1,0.003900638,0.026513956,-0.58325
NDUFS3,0.036269597,0.098950946,0.376375
ATF6B,0.003488717,0.024944624,-0.531875
LTB4R2,NA,NA,NA
FIS1,NA,NA,NA
RPTN,NA,NA,NA
VPS52,NA,NA,NA
TINCR,NA,NA,NA
SCAMP4,NA,NA,NA
RPL41,0.005412512,0.032087566,-0.577125
LNCAROD,NA,NA,NA
LNCAROD.1,NA,NA,NA
AL159166.1,NA,NA,NA
LINC01819,NA,NA,NA
UQCRHL,NA,NA,NA
ZSCAN31,NA,NA,NA
WAKMAR2,NA,NA,NA
EIF4EBP3,0.01479359,0.057459489,-0.65275
PSG4,0.202340269,0.311227368,-0.51675
PSG4.1,0.606323451,0.692233277,-0.12575
PSG4.2,0.606323451,0.692233277,-0.12575
