NAME	TITLE	SCORE	
CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	3.7597132	
GIGYF1	GRB10 interacting GYF protein 1 [Source:HGNC Symbol;Acc:HGNC:9126]	3.755045	
WDCP	WD repeat and coiled coil containing [Source:HGNC Symbol;Acc:HGNC:26157]	3.7524507	
CHORDC1	cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]	3.752429	
MIB1	MIB E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]	3.7512763	
ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	3.7464368	
MZF1	myeloid zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13108]	3.7461548	
FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	3.7440488	
DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	3.743466	
ACIN1	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	3.741311	
ZBTB34	zinc finger and BTB domain containing 34 [Source:HGNC Symbol;Acc:HGNC:31446]	3.7402713	
AP1G2-AS1	AP1G2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55442]	3.7308426	
ASIC3	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	3.7257454	
PKNOX1	PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]	3.721668	
NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	3.7110548	
FNIP1	folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418]	3.703978	
BAG2	BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]	3.700914	
TUG1	taurine up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:26066]	3.6959066	
SLC30A7	solute carrier family 30 member 7 [Source:HGNC Symbol;Acc:HGNC:19306]	3.6923332	
P2RY11	purinergic receptor P2Y11 [Source:HGNC Symbol;Acc:HGNC:8540]	3.6857617	
RYBP	RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:HGNC:10480]	3.6836329	
ANKLE2	ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]	3.6828063	
ZCCHC3	zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]	3.6808686	
DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	3.6729207	
MIRLET7A1HG	miRlet-7a-1/let-7f-1/let-7d cluster host gene [Source:HGNC Symbol;Acc:HGNC:53970]	3.6697834	
ZNF776	zinc finger protein 776 [Source:HGNC Symbol;Acc:HGNC:26765]	3.6681495	
HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	3.6666534	
DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	3.6434977	
NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	3.6418638	
STK40	serine/threonine kinase 40 [Source:HGNC Symbol;Acc:HGNC:21373]	3.6375854	
TRPV1	transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]	3.636948	
SNHG20	small nucleolar RNA host gene 20 [Source:HGNC Symbol;Acc:HGNC:33099]	3.627906	
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7038]	3.6251287	
CEP95	centrosomal protein 95 [Source:HGNC Symbol;Acc:HGNC:25141]	3.624007	
RSRP1	arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]	3.623571	
PAXBP1	PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]	3.6184812	
MRPL18	mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]	3.615746	
PTK7	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]	3.6124754	
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]	3.6116657	
MIR4435-2HG	MIR4435-2 host gene [Source:HGNC Symbol;Acc:HGNC:35163]	3.6032696	
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	3.5942755	
AP5Z1	adaptor related protein complex 5 subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:22197]	3.5936294	
LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	3.592501	
DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3.5919447	
TAF4B	TATA-box binding protein associated factor 4b [Source:HGNC Symbol;Acc:HGNC:11538]	3.5918741	
MATN1-AS1	MATN1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40364]	3.5901089	
WDR74	WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]	3.5891962	
SLC5A3	solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]	3.5871098	
ZXDB	zinc finger X-linked duplicated B [Source:HGNC Symbol;Acc:HGNC:13199]	3.584274	
RNF223	ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]	3.5782268	
PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	3.5715919	
MATCAP2	microtubule associated tyrosine carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:22206]	3.571477	
KIAA1217	KIAA1217 [Source:HGNC Symbol;Acc:HGNC:25428]	3.5698433	
SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	3.5646722	
CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	3.559778	
SIRT1	sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]	3.559304	
TRIM3	tripartite motif containing 3 [Source:HGNC Symbol;Acc:HGNC:10064]	3.5510175	
SNRNP70	small nuclear ribonucleoprotein U1 subunit 70 [Source:HGNC Symbol;Acc:HGNC:11150]	3.5479343	
INO80D	INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]	3.5395854	
SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]	3.5361958	
BAHD1	bromo adjacent homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29153]	3.534123	
GDI1	GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]	3.531866	
TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D [Source:HGNC Symbol;Acc:HGNC:28759]	3.520237	
CPT1B	carnitine palmitoyltransferase 1B [Source:HGNC Symbol;Acc:HGNC:2329]	3.5161014	
HMBOX1	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]	3.514409	
ATXN2L	ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]	3.5133152	
EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	3.5108278	
CLASRP	CLK4 associating serine/arginine rich protein [Source:HGNC Symbol;Acc:HGNC:17731]	3.5088272	
SRCIN1	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]	3.49862	
