Category,ID,Term,Genes,adj_pval
CC,GO:0032588,trans-Golgi network membrane,"SCAMP4, VPS51, VPS52, AP1B1, ATP2C2, SCAMP2",0.044781034
CC,GO:0045171,intercellular bridge,"TPX2, TUBB2A, PRC1, KIF20A, SKA1, CEP55",0.035049016
CC,GO:0034774,secretory granule lumen,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",0.018853809
CC,GO:0015630,microtubule cytoskeleton,"CCNB2, TPX2, TUBB2A, CKAP2L, PRC1, BIRC5, CHP1, KIF2C, HMMR, CRYAB, SKA1, AURKA",9.56E-04
CC,GO:0034451,centriolar satellite,"MIEN1, PDZD2, WDR62, FNIP2, SKA1, DLGAP5, CEP55, ZNF365",0.009814377
CC,GO:0055038,recycling endosome membrane,"SCAMP4, RAB13, HLA-A, B2M, SORL1, SCAMP2, HLA-E",0.01678235
CC,GO:0030176,integral component of endoplasmic reticulum membrane,"BSCL2, SLC35B2, WDR83OS, DHRS9, ATF6B, TECR, EMC7, ERGIC3",0.009059962
CC,GO:0072686,mitotic spindle,"TPX2, TUBB2A, CKAP2L, WDR62, KIF11, SKA3, SKA1, DLGAP5, AURKA",0.00491784
CC,GO:0030496,midbody,"DCTN3, CTNND1, SHCBP1, AURKA, HSP90B1, ASPM, CENPF, PRC1, KIF4A, CHMP2A, BIRC5, KIF20A, CEP55",1.76E-04
CC,GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,"LMAN1, ATP6AP1, RAB1B, ERGIC3, SPPL3, ROBO1",0.01808914
CC,GO:0000922,spindle pole,"CDC20, TPX2, CENPF, CCNB1, RASSF10, CKAP2L, PRC1, PLK2, CALM3, WDR62, KIF11",2.09E-04
CC,GO:0045111,intermediate filament cytoskeleton,"KRT80, KRT4, DDX60, PFDN5, PHLDB2",0.021889168
CC,GO:0000794,condensed nuclear chromosome,"NCAPG2, NCAPG, SMC1A, ADD3",0.037609273
CC,GO:0000776,kinetochore,"CDT1, PLK2, DCTN3, HJURP, BUB1B, SMC1A, SKA3, NDC80, SKA1, AURKA, CDC20, CENPF, CHMP2A, BIRC5, KIF2C, BUB1",2.64E-07
CC,GO:0005819,spindle,"DCTN3, BUB1B, KIF11, HMMR, SHCBP1, AURKA, CDC20, ASPM, TPX2, CENPF, PRC1, BIRC5, KIF2C, KIF20A, SAC3D1",5.54E-07
CC,GO:0000502,proteasome complex,"PSMB6, PSMC5, PSMA2, PSMD13, PSME1, PSME2",0.003917909
CC,GO:0000775,"chromosome, centromeric region","CENPF, CDCA5, HJURP, BIRC5, KIF2C, SMC1A, NDC80",0.001124053
CC,GO:0005925,focal adhesion,"CD81, LMO7, REXO2, RND3, RHOB, HSP90B1, DPP4, TSPAN9, CHP1, PABPC1, RPL18, B2M, PHLDB2, RPS10",0.05290365
CC,GO:0008537,proteasome activator complex,"PSME1, PSME2",0.053226067
CC,GO:1990351,transporter complex,"CHP1, ERGIC3",0.053226067
CC,GO:0005911,cell-cell junction,"COL17A1, CLDN4, CDSN, PDZD2, CTNND1, GAB1, ADD3, AQP3",0.060843699
CC,GO:0005794,Golgi apparatus,"SLC35B2, PMEL, HDAC5, SPRR3, EHF, ATF6B, RAB1B, SPPL3, TM9SF4, COMMD9, VPS51, VPS52, GBP2, B4GALNT3, B2M, GALNT5, SLC35A4, AP1B1, SLC30A1, HLA-A, SORL1, SCAMP2, BACE2, NUCB1, GPR107, KIF20A, CRELD2, ERGIC3, CRYAB",0.064237982
CC,GO:1990745,EARP complex,"VPS51, VPS52",0.070332572
CC,GO:0033597,mitotic checkpoint complex,"CDC20, BUB1B",0.070332572
CC,GO:0000938,GARP complex,"VPS51, VPS52",0.070332572
CC,GO:0043231,intracellular membrane-bounded organelle,"SCARB1, ABCD3, ACSS2, CITED2, CLTB, YBX1, ABCA12, SPPL3, OASL, PDZD2, VPS51, CTSK, LIPN, CTSH, B4GALNT3, BUB1, ZNF365, AP1B1, GRHL1, RUNDC3A, WDR54, SCAMP2, DHRS9, RAET1L, HPSE, SPATA18",0.072150673
CC,GO:0032154,cleavage furrow,"DCTN3, KIF20A, CEP55, RHOB",0.07719251
CC,GO:0000139,Golgi membrane,"SLC35B2, SLC35A4, GALNT5, ATF6B, ATP6AP1, TMEM50B, RAB1B, AP1B1, HLA-A, ATP2C2, ABCA12, RND3, SORL1, COPZ1, HLA-E, LMAN1, CHP1, GBP2, B2M",0.078012794
CC,GO:0005874,microtubule,"TPX2, TUBB2A, RASSF5, KIF4A, STMN1, CDK2AP2, BIRC5, KIF2C, KIF20A, KIF11, AURKA",0.07957993
CC,GO:0012507,ER to Golgi transport vesicle membrane,"LMAN1, HLA-A, B2M, HLA-E",0.083907394
CC,GO:0005854,nascent polypeptide-associated complex,"BTF3, NACA",0.087130806
CC,GO:0045120,pronucleus,"CENPF, AURKA",0.087130806
CC,GO:0035577,azurophil granule membrane,"GLIPR1, SYNGR1, LAMP1, CD68",0.09086268
CC,GO:0032585,multivesicular body membrane,"PMEL, CHMP2A, SORL1",0.096061366
CC,GO:0098553,lumenal side of endoplasmic reticulum membrane,"HLA-A, SPPL3, HLA-E",0.096061366
CC,GO:0071556,integral component of lumenal side of endoplasmic reticulum membrane,"HLA-A, SPPL3, HLA-E",0.096061366
CC,GO:0005604,basement membrane,"COL17A1, CCDC80, TIMP3, FBLN1, THBS2",0.096149041
CC,GO:0005840,ribosome,"MRPS9, RPL41, RPS4Y1, RPL18, RPS10, MRPL21, MRPL11",0.09728927
