ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
FIS1,-1.331866359,0.202817579,115.7152347,2.02E-11,2.57E-10,
STARD10,-0.998630384,0.29899724,49.10956263,0.00045793,0.002045788,
MEG3,7.776516605,2.389577958,42.80084333,1.07E-09,1.19E-08,
CPEB1,3.516021599,2.574525431,2.984068501,0.0048367,0.016259794,
ZSWIM8,0.882646795,0.2028328,172.9556965,8.76E-06,5.63E-05,
IFRD2,-0.993774004,0.314820907,43.53845177,0.000865079,0.003588639,
TOMM6,-1.956785677,0.173113666,356.5840444,2.68E-30,9.48E-29,
ARHGEF28,-1.244162429,0.612092026,9.714739268,0.014914054,0.041925839,
PHB2,-1.343875344,0.222968911,100.0167064,6.45E-10,7.30E-09,
GOLGA8B,2.425486573,0.532878762,26.07966317,1.13E-06,8.41E-06,
DDX3X,0.529990283,0.163757168,228.8149122,0.001033071,0.004200465,
MYL5,1.963295014,0.82994404,8.489730036,0.003495056,0.012257122,
NPEPL1,1.788958302,0.488662794,19.21551474,6.27E-05,0.000343776,
AATBC,-3.503090135,1.172592074,5.165679317,0.000269186,0.001268705,
TSTD1,-1.8559509,0.253599818,92.85359622,5.85E-14,9.37E-13,
RPTN,-3.354237264,0.925068442,7.820560908,3.84E-05,0.000219027,
IFI30,-2.994162542,0.59261968,16.46565922,5.87E-08,5.30E-07,
FNIP1,1.858483587,0.273796248,93.05037227,3.20E-12,4.39E-11,
RNASEK,-0.461611493,0.147515002,225.1038013,0.001517011,0.005915441,
ZGLP1,2.112994215,0.777456471,18.82020533,0.001610854,0.006237313,
VAMP2,0.877814402,0.198259814,203.4012739,6.26E-06,4.13E-05,
PPP3R1,0.776219259,0.24830803,68.86955426,0.0012238,0.004889531,
CEBPD,-1.302041754,0.282338121,73.67284844,1.58E-06,1.15E-05,
PPP2R2A,0.733125908,0.2211652,94.05699998,0.000668618,0.002864615,
FADS3,5.064651191,0.497121476,75.34020333,1.53E-24,4.28E-23,
CCNL2,1.69235114,0.169948574,221.8221878,7.58E-24,2.06E-22,
UBA52,-2.291848478,0.164115045,171.4370978,4.58E-45,2.46E-43,
PPT2,-1.786674019,0.357664957,35.16243936,1.43E-07,1.22E-06,
CYTOR,1.958696405,1.002378359,8.883776248,0.011485709,0.033675206,
MEG9,5.978717594,2.233329198,40.6356761,1.45E-06,1.06E-05,
AL441992.1,-0.695777861,1.395933423,2.43699555,0.014595652,0.041181762,
EXOSC6,2.145438057,0.414145178,34.05063938,4.82E-08,4.38E-07,
VPS52,-1.240656472,0.342765632,37.96959067,0.000122618,0.000625557,
ZNF844,1.962349209,0.560410529,28.70087611,0.000121306,0.000619781,
CKMT1A,-3.025917071,0.762850682,9.122027394,8.28E-06,5.37E-05,
TINCR,-1.710982642,0.371467981,33.07520613,1.07E-06,8.01E-06,
LINC00571,2.013456003,1.213731454,5.051671656,0.014998747,0.042102175,
LINC00205,3.207135182,0.558840638,29.90343992,1.88E-09,2.03E-08,
CPTP,-1.055194053,0.395020262,32.81265589,0.003699402,0.012875599,
AL391427.1,6.323403946,1.526692922,14.41644797,1.41E-06,1.03E-05,
LINC01133,-3.127452002,0.854939101,8.775955517,2.68E-05,0.000157971,
ATXN1L,0.706982863,0.234760556,92.73358885,0.001933277,0.007297379,
AL451042.1,5.098599438,1.137525151,18.72848141,2.89E-06,2.02E-05,
SH3BP5-AS1,1.553661961,0.545709547,22.75023697,0.001361099,0.005372761,
NDUFAF8,-1.936079989,0.409385197,28.38979408,4.71E-07,3.73E-06,
INE1,3.510540821,0.523392444,99.29174945,7.15E-12,9.52E-11,
AL512363.1,-2.834643383,1.023904193,6.831868294,0.000528318,0.00232635,
AL603832.1,2.549237904,1.430485626,10.49119258,0.007831309,0.024421933,
AL590617.2,1.699780562,0.669536163,10.89638603,0.002583611,0.009409826,
NCBP2-AS1,3.621127278,2.280275588,8.090695864,0.002375195,0.008731404,
MCRIP1,1.582003458,0.46691382,24.64661449,0.000205075,0.000995788,
SLC26A6,1.371796865,0.457713129,39.29165643,0.001050642,0.004265624,
FAM229A,2.032732683,0.662574068,30.6429578,0.000569435,0.002485201,
LINC00115,2.800557887,1.083549875,8.640712062,0.001578748,0.006125028,
LINC02660,-4.720329741,1.101502449,8.092792644,2.94E-06,2.05E-05,
LINC00685,2.35866124,0.611584413,31.59183931,2.37E-05,0.000141758,
AC016831.1,6.304556653,2.440038697,7.341667065,5.00E-06,3.36E-05,
PARD3-AS1,2.71957421,1.366007732,15.30978747,0.003606467,0.012593432,
SLC16A1-AS1,1.950825194,1.182545555,4.049793713,0.016486131,0.04551993,
TMEM185B,1.412373156,0.395341324,40.46155999,0.000133506,0.000676102,
HSBP1L1,1.049550792,0.245038847,76.58987284,1.01E-05,6.39E-05,
DANCR,0.832547546,0.304877013,52.0760639,0.004124156,0.014146992,
SCAMP4,-1.207976491,0.516201483,15.59460711,0.007594162,0.023807233,
SLC2A1-AS1,2.382570557,0.67032234,14.52328694,6.79E-05,0.000368461,
LINC01068,2.866664429,1.201913577,11.64008336,0.003271692,0.011573788,
AC016596.1,2.757700483,2.256014326,5.707613948,0.008765094,0.026849789,
AC007383.2,1.281931692,0.541817277,23.77290667,0.0066533,0.021284542,
AL451042.2,4.868299399,1.061724127,15.76370655,2.67E-06,1.87E-05,
IL6R-AS1,9.041287588,2.544307602,30.3064115,8.79E-12,1.16E-10,
MELTF-AS1,2.951644426,0.823070152,12.57172665,5.21E-05,0.000290129,
AC093495.1,3.515097432,2.266966913,6.587489195,0.002765653,0.009985875,
MT-ATP8,-0.323573285,0.064294136,4348.877503,4.69E-07,3.72E-06,
LINC01004,2.862876052,0.727082918,31.75136554,1.73E-05,0.000105626,
AL139260.1,3.069860325,0.941945401,12.25009314,0.000186076,0.000913828,
OST4,-2.525278301,0.182551035,394.9770982,2.37E-44,1.26E-42,
BX284668.2,3.609762735,2.193055036,9.298463906,0.001880706,0.00713603,
FNDC10,-2.165528466,1.199037238,4.430404756,0.007922944,0.024664251,
AC008781.1,2.381636175,2.677068474,3.796874669,0.016258377,0.045028286,
BACH1-IT2,3.521824656,1.431194051,12.56333068,0.001182807,0.004736718,
RPL41,-1.123259734,0.156027401,200.8222521,2.99E-13,4.54E-12,
VIM-AS1,5.197468761,2.506577119,4.532734994,0.000250393,0.001189474,
HYI-AS1,4.325201194,2.319863299,16.31762348,0.000709501,0.003015435,
LINC00452,4.264326859,2.165365695,14.79112705,0.000364359,0.001664401,
PET100,-1.429507332,0.520605147,23.81242709,0.001847124,0.007022126,
AL021707.3,1.934127543,0.918198752,25.13007997,0.009691967,0.029120216,
LINC01786,4.068236499,1.388577428,10.9913805,0.000277838,0.001306357,
AC091133.1,2.750404938,0.717866795,55.32075819,2.80E-05,0.000164147,
ZNF341-AS1,2.243215305,2.67697338,8.876252182,0.0177647,0.048334556,
ZNF674-AS1,2.402710312,0.7858968,12.79404609,0.000427089,0.001924829,
MIR205HG,-4.727526274,0.410522159,51.03735777,1.95E-31,7.35E-30,
LINC02541,-3.320383639,1.038759722,7.340918043,0.000146005,0.000732678,
HSBP1,-0.743867001,0.299399059,39.93824747,0.008996993,0.027438342,
LNCAROD,-2.982149705,1.532002526,3.159697644,0.005216037,0.017290732,
APCDD1L-DT,3.356864086,0.563687159,38.58085794,6.92E-10,7.82E-09,
LINC01160,3.550451179,2.532003975,3.905277775,0.004342136,0.014813714,
RPS18,-2.961017355,0.089912222,940.5862996,9.22E-239,4.24E-236,
LUARIS,2.956387697,0.754057134,49.12035364,3.18E-05,0.000184619,
AL136454.1,-2.571325758,1.146390425,9.269837704,0.002138334,0.007949624,
AL159166.1,-2.79467572,1.882193102,3.022742332,0.00851104,0.026186293,
LINC01819,-3.490356196,1.506144872,4.165618681,0.002071981,0.007736293,
KF459542.1,4.112129238,1.447175219,8.97168541,0.000337967,0.001555685,
LINC02818,3.952634462,1.053384786,58.92795978,7.34E-05,0.000395779,
LINC01807,7.086108339,2.578408267,7.634623357,1.35E-06,9.96E-06,
TMA7,-0.92102598,0.188837923,163.7370482,6.54E-07,5.06E-06,
AC093673.1,3.549999769,0.476763184,53.84163032,1.54E-14,2.58E-13,
AL355304.1,2.6372404,2.589781639,2.766980698,0.012781498,0.036831211,
IDI2-AS1,4.80687374,2.242089003,12.13131879,0.000129879,0.000659673,
LMLN-AS1,2.58038534,2.059458303,14.46065892,0.008956906,0.027328169,
LINC00342,2.880000211,0.915911968,9.79361664,0.000305631,0.001421541,
SNHG7,1.225610528,0.368257522,44.99860863,0.000390913,0.001775122,
ERVH48-1,2.996153884,2.116692383,11.41382964,0.004852863,0.016297992,
AC079807.1,3.044819242,1.26895918,7.255569672,0.00269302,0.00976963,
LINC01783,2.355384082,2.147423486,8.219359114,0.013914862,0.039519467,
