initial_alias,converted_alias,name,description,namespace,,,,,From,To,Species,Gene Name,,,,,,4963,OFC1,Homo sapiens,orofacial cleft 1(OFC1),,,,,,,,,,,,fibro down,,,,,,,,,,mono up,,,,,,,,,mono down,,,
23466,CBX6,CBX6,chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556],ENTREZGENE_ACC,,,,,35930,Hydr1,Drosophila melanogaster,alpha/beta hydrolase 1(Hydr1),,,,,,4541,MT-ND6,Homo sapiens,mitochondrially encoded NADH dehydrogenase 6(MT-ND6),,,,,,,,,,,2558,GABRA5,Homo sapiens,gamma-aminobutyric acid type A receptor subunit alpha5(GABRA5),,,,,,,,33192,CG3345,Drosophila melanogaster,uncharacterized protein(CG3345),,,,,,42561,GABA-B-R2,Drosophila melanogaster,metabotropic GABA-B receptor subtype 2(GABA-B-R2)
8030,CCDC6,CCDC6,coiled-coil domain containing 6 [Source:HGNC Symbol;Acc:HGNC:18782],ENTREZGENE_ACC,,,,,33753,tkv,Drosophila melanogaster,thickveins(tkv),,,,,,5863,RGL2,Homo sapiens,ral guanine nucleotide dissociation stimulator like 2(RGL2),,,,,,,,,,,3402,IDDM3,Homo sapiens,insulin dependent diabetes mellitus 3(IDDM3),,,,,,,,35930,Hydr1,Drosophila melanogaster,alpha/beta hydrolase 1(Hydr1),,,,,,39030,CG13314,Drosophila melanogaster,uncharacterized protein(CG13314)
3491,CCN1,CCN1,cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654],ENTREZGENE_ACC,,,,,32429,hiw,Drosophila melanogaster,highwire(hiw),,,,,,7804,LRP8,Homo sapiens,LDL receptor related protein 8(LRP8),,,,,,,,,,,489,ATP2A3,Homo sapiens,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3(ATP2A3),,,,,,,,33187,CG13693,Drosophila melanogaster,uncharacterized protein(CG13693),,,,,,37259,CG11018,Drosophila melanogaster,uncharacterized protein(CG11018)
23582,CCNDBP1,CCNDBP1,cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587],ENTREZGENE_ACC,,,,,31562,CG3566,Drosophila melanogaster,uncharacterized protein(CG3566),,,,,,22822,PHLDA1,Homo sapiens,pleckstrin homology like domain family A member 1(PHLDA1),,,,,,,,,,,2553,GABPB1,Homo sapiens,GA binding protein transcription factor subunit beta 1(GABPB1),,,,,,,,35927,Su(var)2-10,Drosophila melanogaster,Suppressor of variegation 2-10(Su(var)2-10),,,,,,38866,CG8492,Drosophila melanogaster,uncharacterized protein(CG8492)
27443,CECR2,CECR2,CECR2 histone acetyl-lysine reader [Source:HGNC Symbol;Acc:HGNC:1840],ENTREZGENE_ACC,,,,,35929,CG18659,Drosophila melanogaster,uncharacterized protein(CG18659),,,,,,5652,PRSS8,Homo sapiens,serine protease 8(PRSS8),,,,,,,,,,,2311,FOXO1B,Homo sapiens,forkhead box O1B (pseudogene)(FOXO1B),,,,,,,,40391,Wnk,Drosophila melanogaster,Wnk kinase(Wnk),,,,,,39387,Nrx-IV,Drosophila melanogaster,Neurexin IV(Nrx-IV)
9557,CHD1L,CHD1L,chromodomain helicase DNA binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:1916],ENTREZGENE_ACC,,,,,35928,GstE13,Drosophila melanogaster,Glutathione S transferase E13(GstE13),,,,,,10844,TUBGCP2,Homo sapiens,tubulin gamma complex component 2(TUBGCP2),,,,,,,,,,,2310,FOXO3B,Homo sapiens,forkhead box O3B(FOXO3B),,,,,,,,40390,COX8,Drosophila melanogaster,Cytochrome c oxidase subunit 8(COX8),,,,,,39027,pix,Drosophila melanogaster,pixie(pix)
9435,CHST2,CHST2,carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970],ENTREZGENE_ACC,,,,,35927,Su(var)2-10,Drosophila melanogaster,Suppressor of variegation 2-10(Su(var)2-10),,,,,,4558,MT-TF,Homo sapiens,mitochondrially encoded tRNA phenylalanine(MT-TF),,,,,,,,,,,10420,TESK2,Homo sapiens,testis associated actin remodelling kinase 2(TESK2),,,,,,,,40388,Rpn10,Drosophila melanogaster,Regulatory particle non-ATPase 10(Rpn10),,,,,,33560,Snx1,Drosophila melanogaster,Sorting nexin 1(Snx1)
23332,CLASP1,CLASP1,cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088],ENTREZGENE_ACC,,,,,35926,Phax,Drosophila melanogaster,Phosphorylated adaptor for RNA export(Phax),,,,,,10840,ALDH1L1,Homo sapiens,aldehyde dehydrogenase 1 family member L1(ALDH1L1),,,,,,,,,,,490,ATP2B1,Homo sapiens,ATPase plasma membrane Ca2+ transporting 1(ATP2B1),,,,,,,,40386,CG7611,Drosophila melanogaster,uncharacterized protein(CG7611),,,,,,42954,polybromo,Drosophila melanogaster,polybromo(polybromo)
9076,CLDN1,CLDN1,claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032],ENTREZGENE_ACC,,,,,33989,Caper,Drosophila melanogaster,caper(Caper),,,,,,23328,SASH1,Homo sapiens,SAM and SH3 domain containing 1(SASH1),,,,,,,,,,,495,ATP4A,Homo sapiens,ATPase H+/K+ transporting subunit alpha(ATP4A),,,,,,,,40385,Cdk12,Drosophila melanogaster,Cyclin-dependent kinase 12(Cdk12),,,,,,42543,Fancm,Drosophila melanogaster,Fanconi anemia group M helicase(Fancm)
9071,CLDN10,CLDN10,claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033],ENTREZGENE_ACC,,,,,35925,Mys45A,Drosophila melanogaster,Mystery 45A(Mys45A),,,,,,23329,TBC1D30,Homo sapiens,TBC1 domain family member 30(TBC1D30),,,,,,,,,,,496,ATP4B,Homo sapiens,ATPase H+/K+ transporting subunit beta(ATP4B),,,,,,,,40389,VhaM9.7-b,Drosophila melanogaster,Vacuolar H[+] ATPase M9.7 subunit b(VhaM9.7-b),,,,,,42544,C15,Drosophila melanogaster,C15(C15)
