baseMean,log2FoldChange,lfcSE,pvalue,padj,diffexpressed,delabel
5.343762788,0.095556521,0.343912729,0.637076347,0.799767116,NO,NA
1.297780373,-0.003589722,0.408079332,0.970436664,NA,NO,NA
50.39575739,0.84296679,0.37375948,0.003775701,0.043406346,UP,NA
0.582148783,0.044791234,0.417974013,0.590365654,NA,NO,NA
4.674097428,-0.194130461,0.434332866,0.234728051,0.457552583,NO,NA
2.00015046,0.336675487,0.579591123,0.05103726,NA,NO,NA
65.05420301,-0.107138374,0.229781639,0.587691329,0.767125182,NO,NA
58.8302138,-0.857929392,0.365365095,0.002651967,0.03433903,DOWN,NA
8.117917946,-0.016188778,0.31156124,0.944629105,0.973187737,NO,NA
2.805435538,0.063155226,0.423965248,0.151843105,NA,NO,NA
9.638667031,0.078323127,0.386397174,0.61711568,0.786995501,NO,NA
0.927662843,-0.042117983,0.41013951,0.660633338,NA,NO,NA
1.595142703,-0.222617053,0.452404319,0.20493118,NA,NO,NA
22.65875668,0.641426007,0.462048684,0.021207155,0.114640308,NO,NA
28.81183355,0.204031171,0.400527641,0.324145368,0.548885901,NO,NA
36.07840285,0.092719278,0.378202343,0.608035819,0.780593329,NO,NA
3.534275937,0.051929107,0.424082983,0.099740126,0.279554515,NO,NA
54.79122506,-0.331849552,0.200040449,0.063762636,0.21592122,NO,NA
138.2832644,-0.210528091,0.235566215,0.272901794,0.496592412,NO,NA
26.79363108,1.22283939,0.290019404,1.93E-06,0.000236117,UP,NA
20.94148341,0.239107769,0.268410124,0.253353024,0.477388414,NO,NA
0.620230951,0.050204472,0.416009386,0.604358118,NA,NO,NA
30.29721223,0.082283263,0.385529084,0.589024053,0.768011281,NO,NA
25.50743354,0.146040374,0.288840737,0.500011408,0.701795814,NO,NA
19.1095565,0.83945169,0.615575688,0.017938925,0.103853593,NO,NA
8.094461746,-0.351724768,0.43020684,0.144031631,0.342917471,NO,NA
23.85563277,-0.152726708,0.245529688,0.455108179,0.667570798,NO,NA
3.436517736,0.091997215,0.419681791,0.293891588,0.518203342,NO,NA
92.32598348,0.493968051,0.375883341,0.058637944,0.205335151,NO,NA
8.996014486,0.086930965,0.332200851,0.66719273,0.819922013,NO,NA
40.0258928,-0.542043707,0.273577304,0.01668537,0.100096913,NO,NA
47.69352692,0.310342388,0.463612903,0.165102268,0.370488583,NO,NA
22.0114684,-0.06053191,0.280835791,0.765837884,0.879507702,NO,NA
172.3523877,0.324845017,0.343673139,0.173827319,0.382069525,NO,NA
1.373257604,0.077468123,0.402556102,0.573600149,NA,NO,NA
46.95819565,0.185016742,0.472555194,0.011680586,0.083025947,NO,NA
8.256273382,-0.063367571,0.29645743,0.761089524,0.87640215,NO,NA
49.37252205,0.177500539,0.331379131,0.391381273,0.612551973,NO,NA
18.27448022,-0.06768911,0.323491919,0.743808026,0.866439954,NO,NA
16.52594768,-0.617970682,0.499301538,0.037614679,0.161022839,NO,NA
16.98704277,0.119605037,0.270369764,0.570361255,0.755131048,NO,NA
33.88211477,-0.008144616,0.343851844,0.959531961,0.98090823,NO,NA
2.72404006,0.040214068,0.415077591,0.556039239,NA,NO,NA
23.35785617,0.003130295,0.386852728,0.989347098,0.995666129,NO,NA
19.98667719,-0.335507104,0.311531227,0.137030096,0.332914657,NO,NA
2.564289263,-0.158360245,0.401136612,0.387385809,NA,NO,NA
30.08024787,0.840582945,0.294221608,0.000752898,0.015242104,UP,NA
0.67231072,0.02936923,0.420233348,0.564994677,NA,NO,NA
31.480885,-1.117639823,0.53909357,0.003377253,0.040225607,DOWN,NA
0.912839398,0.029009087,0.40825554,0.724717509,NA,NO,NA
3.156637751,-0.224635408,0.419195909,0.26140399,NA,NO,NA
84.25919892,0.081669653,0.408450072,0.479603811,0.68609261,NO,NA
145.4140488,0.123321862,0.447583331,8.62E-06,0.000636336,UP,NA
7.466784454,-0.347023832,0.408109008,0.148214644,0.348044525,NO,NA
9.195649632,-0.724123715,0.495430335,0.023349236,0.121031037,NO,NA
0.352593971,0.008846433,0.419364229,0.965038523,NA,NO,NA
18.05577223,-0.343630267,0.278886791,0.117633187,0.304591585,NO,NA
1.343780872,0.133087788,0.428659441,0.257038099,NA,NO,NA
88.24364976,0.458180838,0.408516961,0.081310079,0.249383962,NO,NA
19.98458865,0.053447597,0.425238507,0.011043462,0.080192332,NO,NA
36.4574331,1.122178314,0.626020482,0.005410139,0.053764285,NO,NA
34.88327434,0.084781511,0.352840672,0.671769791,0.822218561,NO,NA
26.75891511,-0.30128865,0.253935614,0.14831271,0.348044525,NO,NA
33.38261707,-0.098562414,0.323129694,0.637245015,0.799797534,NO,NA
5.029250854,-0.107090264,0.409357292,0.433133055,0.647891353,NO,NA
180.0249482,0.362599008,0.351184065,0.13191494,0.325383551,NO,NA
24.8085357,0.205938637,0.441642641,0.160049907,0.362891847,NO,NA
0.264871782,-0.008838052,0.42061207,0.98550542,NA,NO,NA
1.733110892,0.074880224,0.412366041,0.443196986,NA,NO,NA
160.4917201,-0.311269335,0.126495801,0.009715517,0.074985176,NO,NA
117.0430178,0.051686576,0.386678197,0.706338728,0.843424313,NO,NA
23.7294104,-0.375526073,0.253266295,0.072571485,0.23244915,NO,NA
