"initial_alias","converted_alias","name","description","namespace"
"DVL1","1855","DVL1","dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB11FIP2","22841","RAB11FIP2","RAB11 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29152]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM16L","147166","TRIM16L","tripartite motif containing 16 like [Source:NCBI gene (formerly Entrezgene);Acc:147166]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ABCC3","8714","ABCC3","ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX25","83891","SNX25","sorting nexin 25 [Source:HGNC Symbol;Acc:HGNC:21883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP164","22897","CEP164","centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PITPNM1","9600","PITPNM1","phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAPRIN2","65981","CAPRIN2","caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH2B3","10019","SH2B3","SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC38A1","81539","SLC38A1","solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAN1A1","4121","MAN1A1","mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UST","10090","UST","uronyl 2-sulfotransferase [Source:HGNC Symbol;Acc:HGNC:17223]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXO9","26268","FBXO9","F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARFGEF3","57221","ARFGEF3","ARFGEF family member 3 [Source:HGNC Symbol;Acc:HGNC:21213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VEGFA","7422","VEGFA","vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DBN1","1627","DBN1","drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC88A","55704","CCDC88A","coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDM3A","55818","KDM3A","lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC1A4","6509","SLC1A4","solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRRC42","115353","LRRC42","leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC2A1","6513","SLC2A1","solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAAH","2166","FAAH","fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
